Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
157939.4531	0.0844	1.3032	-0.2810	-2.4360	9.2613	2.2255	-0.2514	-0.7301	-0.1714	157939.4531	-0.0402	-0.1330	0.5133	0.3458	9.7195	0.2454	-0.2654	-0.6680	0.0344	157939.4531	-0.3145	0.1279	-0.1020	-0.7226	4.0965	-8.8549	0.0423	0.0292	0.6278	157939.4531	-1.1939	-0.2371	-1.7009	-0.0434	9.6790	2.5490	0.1098	-0.5103	-0.3489	157939.4531	0.7292	0.6193	1.3081	0.4804	9.7469	0.6964	0.0878	-0.5362	-0.2189	157939.4531	-0.2345	-0.2478	-0.0356	-0.0740	5.8674	-7.7738	-0.2920	1.3445	0.1315	157949.2187	2.5192	1.4227	0.9297	0.1171	9.7154	-1.0996	-0.2022	-0.6801	-0.1682	0.0000	0.0000
157949.2187	0.0844	1.3032	-0.2810	-2.3556	9.2613	2.2999	-0.2533	-0.7049	-0.1649	157949.2187	-0.0402	-0.1330	0.5133	0.4254	9.7976	0.2439	-0.2500	-0.6738	0.0430	157949.2187	-0.3145	0.1279	-0.1020	-0.6448	4.0181	-8.8549	0.0423	0.0292	0.6278	157949.2187	-1.1939	-0.2371	-1.7009	0.0347	9.6790	2.6254	0.1098	-0.5082	-0.3513	157949.2187	0.7292	0.6193	1.3081	0.7152	9.8255	0.7746	0.0694	-0.5511	-0.2232	157949.2187	1.0148	-0.8918	0.0236	-0.0749	6.0198	-7.8565	-0.2920	1.3445	0.1315	157958.9844	2.5192	1.4227	0.9297	0.1179	9.7162	-1.0218	-0.1855	-0.6360	-0.1636	0.0000	0.0000
157958.9844	0.0844	1.3032	-0.2810	-2.3556	9.3377	2.2992	-0.2533	-0.7204	-0.1627	157958.9844	0.2548	-0.1407	0.4591	0.5846	9.7187	0.1668	-0.2692	-0.6855	0.0344	157958.9844	-0.3145	0.1279	-0.1020	-0.7226	3.8612	-8.8525	0.0463	0.0208	0.6410	157958.9844	-1.1939	-0.2371	-1.7009	-0.1200	9.6026	2.6277	0.1098	-0.5082	-0.3513	157958.9844	0.9041	2.5127	0.5152	1.1064	9.8263	0.8536	0.0776	-0.5340	-0.2084	157958.9844	1.0148	-0.8918	0.0236	-0.1545	6.0182	-7.9344	-0.2800	1.3887	0.1244	157968.7500	2.5192	1.4227	0.9297	0.1163	9.7146	-1.1773	-0.2004	-0.6169	-0.1590	0.0000	0.0000
157968.7500	1.1645	2.5198	-0.0270	-2.3549	9.4905	2.3728	-0.2533	-0.7146	-0.1670	157968.7500	0.2548	-0.1407	0.4591	0.5050	9.7968	0.1652	-0.2692	-0.6641	0.0387	157968.7500	-0.3145	0.1279	-0.1020	-0.7226	4.0188	-8.7773	0.0262	-0.0042	0.6344	157968.7500	-1.1939	-0.2371	-1.7009	0.0363	9.6026	2.7806	0.0961	-0.5391	-0.3489	157968.7500	0.9041	2.5127	0.5152	0.9499	9.7493	0.9334	0.0776	-0.5340	-0.2084	157968.7500	1.0148	-0.8918	0.0236	0.0047	5.9443	-7.7769	-0.2940	1.3782	0.1103	157978.5156	2.0913	1.0292	0.7347	0.1171	9.7154	-1.0996	-0.1763	-0.6437	-0.1636	0.0000	0.0000
157978.5156	1.1645	2.5198	-0.0270	-2.4353	9.2613	2.3007	-0.2552	-0.7126	-0.1540	157978.5156	0.2548	-0.1407	0.4591	0.4254	9.8732	0.0065	-0.2692	-0.6641	0.0387	157978.5156	0.3284	-0.1875	0.0100	-0.7226	4.0973	-8.7780	0.0262	-0.0042	0.6344	157978.5156	-1.1786	-0.1730	-0.5262	-0.0419	9.4499	2.7057	0.1020	-0.5391	-0.3489	157978.5156	0.9041	2.5127	0.5152	0.8716	9.5938	0.9349	0.0735	-0.5489	-0.2337	157978.5156	1.1217	-0.9956	-0.2040	-0.1537	6.0968	-7.8564	-0.2800	1.3782	0.1197	157988.2812	2.0913	1.0292	0.7347	0.1975	9.7926	-1.0226	-0.2078	-0.6533	-0.1659	0.0000	0.0000
157988.2812	1.1645	2.5198	-0.0270	-2.3556	9.4141	2.2984	-0.2438	-0.7146	-0.1735	157988.2812	-0.9947	-0.1235	-0.0771	0.4254	9.7976	0.2439	-0.2500	-0.6562	0.0366	157988.2812	0.3284	-0.1875	0.0100	-0.6448	4.0188	-8.7780	0.0161	0.0042	0.6256	157988.2812	-1.1786	-0.1730	-0.5262	0.0355	9.5263	2.7041	0.0980	-0.5494	-0.3513	157988.2812	0.5315	0.4073	-0.1797	0.8716	9.5930	0.8559	0.0633	-0.5553	-0.2295	157988.2812	1.1217	-0.9956	-0.2040	-0.0749	6.0198	-7.8565	-0.2800	1.3782	0.1197	157998.0469	2.0913	1.0292	0.7347	0.1171	9.8683	-1.1011	-0.1892	-0.6437	-0.1636	0.0000	0.0000
157998.0469	2.4797	0.1900	0.6625	-2.5932	9.3377	2.4519	-0.2495	-0.7379	-0.1714	157998.0469	-0.9947	-0.1235	-0.0771	0.4254	9.7203	0.3240	-0.2500	-0.6406	0.0366	157998.0469	0.3284	-0.1875	0.0100	-0.7226	4.0980	-8.7012	0.0382	-0.0083	0.6233	157998.0469	-1.1786	-0.1730	-0.5262	0.0347	9.4499	2.6277	0.0980	-0.5494	-0.3513	157998.0469	0.5315	0.4073	-0.1797	0.9499	9.7485	0.8544	0.0673	-0.5532	-0.2126	157998.0469	1.1217	-0.9956	-0.2040	-0.0748	5.8658	-7.8534	-0.2960	1.3634	0.1197	158007.8125	-1.1822	0.2724	0.4261	-0.1209	9.7162	-1.0218	-0.1892	-0.6322	-0.1705	0.0000	0.0000
