Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
241787.1094	0.5345	1.2220	-0.8404	-2.1075	9.1086	3.2014	-0.2819	-0.7146	-0.2299	241787.1094	-0.5575	-0.2614	-0.0312	0.6642	9.7180	0.0882	-0.2846	-0.6543	0.0968	241787.1094	0.0835	-0.3559	0.1172	-0.5669	4.4109	-8.7827	0.0926	0.0083	0.6762	241787.1094	0.0765	-0.2667	-0.4956	-0.0318	9.2208	3.7115	0.1412	-0.4938	-0.4052	241787.1094	0.4418	-0.4935	-0.0049	1.0281	9.7461	0.6174	0.0959	-0.6064	-0.2611	241787.1094	0.1372	-0.2689	-0.3320	0.0016	5.7840	-8.0921	-0.0660	1.3887	0.1221	241796.8750	-0.1519	0.5600	0.0212	-0.1209	9.6397	-1.0211	-0.1688	-0.6494	-0.1636	0.0000	0.0000
241796.8750	0.5345	1.2220	-0.8404	-2.1090	9.0322	3.0518	-0.2819	-0.7223	-0.2321	241796.8750	-0.5575	-0.2614	-0.0312	0.7438	9.7195	0.2454	-0.2846	-0.6543	0.0968	241796.8750	0.0835	-0.3559	0.1172	-0.5669	4.2549	-8.7043	0.0885	0.0167	0.6740	241796.8750	1.5766	-0.0660	-0.9040	-0.1092	9.2208	3.7123	0.1412	-0.4753	-0.4028	241796.8750	-0.3173	-1.2959	0.2627	1.0281	9.6684	0.6181	0.0959	-0.6064	-0.2611	241796.8750	0.1372	-0.2689	-0.3320	0.0024	5.8626	-8.0141	-0.0660	1.3887	0.1221	241806.6406	-0.1519	0.5600	0.0212	-0.1209	9.7162	-1.0218	-0.1725	-0.6264	-0.1728	0.0000	0.0000
241806.6406	-0.2664	0.2175	-1.1036	-2.1872	9.1850	3.2015	-0.2800	-0.7049	-0.2148	241806.6406	-0.5575	-0.2614	-0.0312	0.8234	9.7187	0.1668	-0.2827	-0.6934	0.0925	241806.6406	0.0835	-0.3559	0.1172	-0.4891	4.2549	-8.7051	0.0885	0.0167	0.6740	241806.6406	1.5766	-0.0660	-0.9040	-0.1092	9.2208	3.7123	0.1294	-0.4774	-0.4052	241806.6406	-0.3173	-1.2959	0.2627	0.8716	9.6676	0.5391	0.0857	-0.6128	-0.2611	241806.6406	0.1040	-0.1706	-0.5273	-0.0772	5.8610	-8.0920	-0.0780	1.3550	0.1174	241816.4062	-0.1519	0.5600	0.0212	-0.1209	9.7926	-1.0226	-0.1781	-0.6533	-0.1751	0.0000	0.0000
241816.4062	-0.2664	0.2175	-1.1036	-2.1082	9.1850	3.1255	-0.2876	-0.7049	-0.2169	241816.4062	-0.5441	0.2586	0.2756	0.7438	9.7187	0.1668	-0.2750	-0.6465	0.0968	241816.4062	0.2203	-0.3098	0.0403	-0.6448	4.2533	-8.8572	0.0724	-0.0187	0.6696	241816.4062	1.5766	-0.0660	-0.9040	-0.1874	9.3735	3.6343	0.1255	-0.4959	-0.4028	241816.4062	-0.3173	-1.2959	0.2627	0.9499	9.7446	0.4593	0.0755	-0.6234	-0.2611	241816.4062	0.1040	-0.1706	-0.5273	0.0032	5.8642	-7.9345	-0.0580	1.3887	0.1315	241826.1719	0.2583	1.0746	-0.0255	-0.2044	9.7123	-1.4106	-0.1744	-0.6513	-0.1728	0.0000	0.0000
241826.1719	-0.2664	0.2175	-1.1036	-2.0293	9.0322	3.0510	-0.2743	-0.6893	-0.2169	241826.1719	-0.5441	0.2586	0.2756	0.7438	9.6407	0.1684	-0.2904	-0.6953	0.0946	241826.1719	0.2203	-0.3098	0.0403	-0.7226	4.1765	-8.7020	0.0845	0.0146	0.6652	241826.1719	0.9490	1.7742	-0.9243	-0.0318	9.2971	3.7107	0.1255	-0.4959	-0.4028	241826.1719	0.3794	0.3324	-0.1498	0.9499	9.7477	0.7754	0.0755	-0.6553	-0.2737	241826.1719	0.1040	-0.1706	-0.5273	-0.0748	5.7888	-7.8518	-0.0840	1.3508	0.1244	241835.9375	0.2583	1.0746	-0.0255	-0.2793	9.7934	-0.9448	-0.1725	-0.6284	-0.1728	0.0000	0.0000
241835.9375	0.2711	-0.9079	-0.6233	-2.1097	9.1086	2.9758	-0.2819	-0.6932	-0.2148	241835.9375	-0.5441	0.2586	0.2756	0.6642	9.7960	0.0866	-0.2904	-0.6953	0.0946	241835.9375	0.2203	-0.3098	0.0403	-0.6448	4.1772	-8.6260	0.0744	0.0042	0.6630	241835.9375	0.9490	1.7742	-0.9243	-0.1866	9.3735	3.7115	0.1471	-0.4877	-0.4098	241835.9375	0.3794	0.3324	-0.1498	0.7934	9.6684	0.6181	0.0755	-0.6553	-0.2737	241835.9375	0.1040	-0.1706	-0.5273	0.0820	5.8641	-7.9361	-0.0840	1.3508	0.1244	241845.7031	0.2583	1.0746	-0.0255	-0.0413	9.6397	-1.0211	-0.1874	-0.6360	-0.1797	0.0000	0.0000
241845.7031	0.2711	-0.9079	-0.6233	-2.1894	9.1850	2.9759	-0.2800	-0.6854	-0.2169	241845.7031	-0.6767	-0.3593	0.3942	0.6642	9.7187	0.1668	-0.2692	-0.6660	0.0946	241845.7031	0.0018	0.0914	0.0313	-0.6448	4.2541	-8.7804	0.0744	0.0042	0.6630	241845.7031	0.9490	1.7742	-0.9243	-0.1100	9.2971	3.6343	0.1451	-0.4959	-0.4075	241845.7031	0.3794	0.3324	-0.1498	1.0281	9.6676	0.5391	0.0653	-0.6489	-0.2632	241845.7031	0.6534	-0.0197	-0.2147	0.0016	5.9380	-8.0952	-0.0660	1.3950	0.1291	241855.4687	0.2583	1.0746	-0.0255	-0.2005	9.7926	-1.0226	-0.1577	-0.6667	-0.1797	0.0000	0.0000
