Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3509025579.5448	2.3858	-7.7716	3.0264	-0.6001	9.5668	2.5049	-0.6305	-0.3981	-0.2560	3509025579.5550	1.2213	-3.6817	1.8293	-1.3259	9.6250	-1.4038	-0.2038	-0.6934	0.2129	3509025579.5209	0.5620	0.1677	-0.2320	1.5353	4.8874	-8.1939	-0.1187	-0.0417	0.8304	3509025579.5522	1.9287	0.1520	-1.1672	0.6747	8.8389	4.7119	0.0471	-0.4239	-0.5738	35097.6562	3509025579.5403	3509025544.4427	-0.0654	0.4897	-1.9709	0.8716	9.6033	1.8830	0.2082	-0.6553	-0.3789	35097.6562	3509025579.5453	3509025544.4476	-0.0839	0.2791	-0.5863	-1.6602	4.5386	-8.7504	-0.0500	1.5273	0.3357	35097.6562	3509025579.5672	3509025544.4695	-0.3550	-2.9514	-2.0316	-0.9270	9.5532	-2.0311	-0.1280	-0.6379	-0.1406	0.0000	0.0000
3509025579.5546	3.1770	-3.9133	2.1495	-0.8384	9.6432	2.5818	-0.6343	-0.3903	-0.2690	3509025579.5647	1.2213	-3.6817	1.8293	-1.4851	9.7811	-1.4069	-0.2173	-0.6895	0.2172	3509025579.5307	0.5620	0.1677	-0.2320	1.4574	4.8859	-8.3467	-0.1006	0.0042	0.8172	3509025579.5619	1.9287	0.1520	-1.1672	0.7544	8.8389	4.9427	0.0471	-0.4239	-0.5644	35107.4219	3509025579.5501	3509025544.4427	-0.0654	0.4897	-1.9709	1.0281	9.6818	1.9612	0.2102	-0.6170	-0.3495	35107.4219	3509025579.5550	3509025544.4476	-0.0839	0.2791	-0.5863	-1.5813	4.4616	-8.7504	-0.0320	1.4958	0.3357	35107.4219	3509025579.5769	3509025544.4695	-0.7725	-1.8617	-1.1966	-0.8466	9.5539	-1.9534	-0.1095	-0.6303	-0.1290	0.0000	0.0000
3509025579.5644	3.1770	-3.9133	2.1495	-0.9189	9.6432	2.5074	-0.6305	-0.3981	-0.2603	3509025579.5745	0.1992	-0.7291	2.0858	-1.4055	9.5470	-1.4022	-0.2077	-0.7402	0.2280	3509025579.5405	0.3105	-0.3281	0.1457	1.5353	4.7306	-8.1923	-0.1207	-0.0021	0.8106	3509025579.5717	1.9287	0.1520	-1.1672	0.6770	8.6862	4.9450	0.0549	-0.4506	-0.5761	35117.1875	3509025579.5598	3509025544.4427	-0.0654	0.4897	-1.9709	1.1064	9.6818	1.9612	0.2143	-0.6723	-0.3537	35117.1875	3509025579.5648	3509025544.4476	0.6040	0.1722	-0.4706	-1.6602	4.5386	-8.7504	-0.0440	1.5147	0.3286	35117.1875	3509025579.5867	3509025544.4695	-0.7725	-1.8617	-1.1966	-0.8466	9.5539	-1.9534	-0.1243	-0.6609	-0.1382	0.0000	0.0000
3509025579.5741	3.1770	-3.9133	2.1495	-0.7610	9.4905	2.3569	-0.6400	-0.3903	-0.2625	3509025579.5843	0.1992	-0.7291	2.0858	-1.1667	9.5477	-1.3236	-0.2000	-0.6875	0.2151	3509025579.5502	0.3105	-0.3281	0.1457	1.6910	4.8866	-8.2723	-0.1147	0.0104	0.8194	3509025579.5815	1.9287	0.1520	-1.1672	0.6763	8.6098	4.8685	0.0549	-0.4506	-0.5761	35126.9531	3509025579.5696	3509025544.4427	0.1627	-1.0103	-2.0165	1.0281	9.6049	2.0410	0.2041	-0.6468	-0.3642	35126.9531	3509025579.5746	3509025544.4476	0.6040	0.1722	-0.4706	-1.6594	4.6172	-8.6723	-0.0440	1.4916	0.3263	35126.9531	3509025579.5965	3509025544.4695	-0.7725	-1.8617	-1.1966	-0.8459	9.6312	-1.8764	-0.1299	-0.6360	-0.1313	0.0000	0.0000
3509025579.5839	2.9886	-2.3312	1.9533	-0.7617	9.4905	2.2817	-0.6305	-0.3650	-0.2516	3509025579.5940	0.1992	-0.7291	2.0858	-1.1667	9.5477	-1.3236	-0.2000	-0.6875	0.2151	3509025579.5600	0.3105	-0.3281	0.1457	1.4574	4.8075	-8.3460	-0.1147	0.0104	0.8194	3509025579.5912	1.2858	-0.6472	-2.0980	0.7536	8.5334	4.8685	0.0588	-0.4383	-0.5855	35136.7187	3509025579.5794	3509025544.4427	0.1627	-1.0103	-2.0165	1.0281	9.7588	1.8814	0.2041	-0.6468	-0.3642	35136.7187	3509025579.5843	3509025544.4476	0.6040	0.1722	-0.4706	-1.6594	4.6172	-8.6723	-0.0500	1.4916	0.3263	35136.7187	3509025579.6062	3509025544.4695	1.2577	-2.2400	-0.4898	-0.7663	9.5547	-1.8756	-0.1150	-0.6341	-0.1336	0.0000	0.0000
3509025579.5937	2.9886	-2.3312	1.9533	-0.7602	9.3377	2.4336	-0.6305	-0.3631	-0.2538	3509025579.6038	0.2042	0.7490	2.5082	-1.1667	9.3909	-1.3991	-0.2154	-0.7012	0.2151	3509025579.5698	0.3105	-0.3281	0.1457	1.4574	4.7298	-8.2684	-0.1087	0.0104	0.8106	3509025579.6010	1.2858	-0.6472	-2.0980	0.7521	8.6862	4.7126	0.0627	-0.4239	-0.5621	35146.4844	3509025579.5891	3509025544.4427	0.1627	-1.0103	-2.0165	0.9499	9.6041	1.9620	0.1939	-0.6234	-0.3600	35146.4844	3509025579.5941	3509025544.4476	0.6002	0.2900	-0.8474	-1.5805	4.3862	-8.6693	-0.0320	1.5168	0.3310	35146.4844	3509025579.6160	3509025544.4695	1.2577	-2.2400	-0.4898	-0.7663	9.5547	-1.8756	-0.1095	-0.6284	-0.1313	0.0000	0.0000
3509025579.6034	2.9886	-2.3312	1.9533	-0.6805	9.3377	2.4328	-0.6305	-0.3631	-0.2646	3509025579.6136	0.2042	0.7490	2.5082	-1.0075	9.4689	-1.4007	-0.2077	-0.7187	0.2237	3509025579.5795	0.8400	-0.2793	0.5058	1.6131	4.8859	-8.3483	-0.1147	-0.0292	0.8150	3509025579.6108	1.2858	-0.6472	-2.0980	0.6755	8.7625	4.7898	0.0627	-0.4239	-0.5621	35156.2500	3509025579.5989	3509025544.4427	0.1627	-1.0103	-2.0165	1.0281	9.6041	1.9620	0.1980	-0.6213	-0.3474	35156.2500	3509025579.6039	3509025544.4476	0.6002	0.2900	-0.8474	-1.5813	4.4616	-8.7504	-0.0540	1.4958	0.3357	35156.2500	3509025579.6258	3509025544.4695	1.2577	-2.2400	-0.4898	-0.7670	9.5539	-1.9534	-0.1113	-0.6341	-0.1382	0.0000	0.0000
