Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Sync Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3509025614.2446	2.6718	-1.7144	-1.1051	-1.3226	9.4141	1.9872	-0.5543	-0.3495	-0.2907	3509025614.2510	0.5927	-0.7044	1.0323	-0.8483	9.6234	-1.5610	-0.1788	-0.6602	0.1591	3509025614.2164	0.3924	0.7442	0.1708	1.3017	4.8867	-8.2684	-0.0865	-0.0292	0.5330	3509025614.2481	0.9490	-1.9334	0.5799	0.6491	9.5263	2.1576	-0.0392	-0.5514	-0.4215	69794.9219	3509025614.2365	3509025544.4416	-0.7077	-0.3597	0.8388	0.9499	9.6731	1.0922	0.0694	-0.5574	-0.2295	69794.9219	3509025614.2406	3509025544.4457	0.0745	0.2809	-0.3507	-1.4237	4.3845	-8.7520	-0.1420	1.3845	-0.0235	69794.9219	3509025614.2500	3509025544.4551	0.1224	-2.2855	0.0709	0.2880	9.8800	0.0652	-0.1688	-0.5900	-0.2673	0.0000	0.0000
3509025614.2544	2.6718	-1.7144	-1.1051	-1.3204	9.5668	2.2113	-0.5638	-0.4000	-0.2842	3509025614.2608	0.5927	-0.7044	1.0323	-0.8483	9.6250	-1.4038	-0.1712	-0.6328	0.1570	3509025614.2262	0.2453	0.1846	-0.1527	1.6131	4.8098	-8.1171	-0.0885	-0.0083	0.5396	3509025614.2579	0.9490	-1.9334	0.5799	0.6499	9.6026	2.2340	-0.0255	-0.5185	-0.4262	69804.6875	3509025614.2462	3509025544.4416	-0.7077	-0.3597	0.8388	0.9499	9.7493	0.9334	0.0673	-0.5617	-0.2168	69804.6875	3509025614.2504	3509025544.4457	0.3103	0.0692	-0.1903	-1.5017	4.4631	-8.6724	-0.1560	1.3571	-0.0094	69804.6875	3509025614.2598	3509025544.4551	-0.4048	-2.5428	0.5920	0.1288	9.8800	0.0652	-0.1577	-0.5881	-0.2627	0.0000	0.0000
3509025614.2642	3.0926	-1.7339	-1.6210	-1.2407	9.4905	2.2113	-0.5829	-0.3961	-0.2950	3509025614.2706	1.3211	-3.8186	0.7829	-1.0871	9.6234	-1.5610	-0.1904	-0.6680	0.1570	3509025614.2360	0.2453	0.1846	-0.1527	1.3017	4.8075	-8.3444	-0.0926	-0.0479	0.5396	3509025614.2677	1.3776	-2.3044	0.2758	0.6522	9.5263	2.4664	-0.0255	-0.5185	-0.4262	69814.4531	3509025614.2560	3509025544.4416	-0.7077	-0.3597	0.8388	0.8716	9.5954	1.0929	0.0571	-0.5702	-0.2168	69814.4531	3509025614.2602	3509025544.4457	0.3103	0.0692	-0.1903	-1.5034	4.5369	-8.8331	-0.1560	1.3571	-0.0094	69814.4531	3509025614.2695	3509025544.4551	-0.4048	-2.5428	0.5920	0.2068	9.8020	-0.0895	-0.1651	-0.5920	-0.2627	0.0000	0.0000
3509025614.2739	3.0926	-1.7339	-1.6210	-1.2399	9.4905	2.2865	-0.5905	-0.4058	-0.2993	3509025614.2803	1.3211	-3.8186	0.7829	-1.0871	9.5446	-1.6381	-0.1692	-0.6758	0.1548	3509025614.2457	0.2453	0.1846	-0.1527	1.4574	4.8082	-8.2691	-0.0926	-0.0479	0.5396	3509025614.2774	1.3776	-2.3044	0.2758	0.7281	9.4499	2.3120	-0.0255	-0.5370	-0.4309	69824.2187	3509025614.2658	3509025544.4416	-0.6587	-0.9410	1.1699	0.7934	9.5954	1.0929	0.0571	-0.5702	-0.2168	69824.2187	3509025614.2699	3509025544.4457	0.3103	0.0692	-0.1903	-1.5026	4.5385	-8.7535	-0.1440	1.3571	-0.0117	69824.2187	3509025614.2793	3509025544.4551	-0.4048	-2.5428	0.5920	0.2091	9.8043	0.1438	-0.1447	-0.5824	-0.2604	0.0000	0.0000
3509025614.2837	3.0926	-1.7339	-1.6210	-1.3211	9.6432	2.1353	-0.5848	-0.3942	-0.2972	3509025614.2901	1.3211	-3.8186	0.7829	-1.3259	9.7007	-1.6412	-0.1692	-0.6758	0.1548	3509025614.2555	0.2453	0.1846	-0.1527	1.4574	4.8075	-8.3460	-0.0905	-0.0375	0.5507	3509025614.2872	1.3776	-2.3044	0.2758	0.7273	9.5263	2.2340	-0.0392	-0.5370	-0.4262	69833.9844	3509025614.2755	3509025544.4416	-0.6587	-0.9410	1.1699	0.7934	9.7509	1.0914	0.0673	-0.5830	-0.2211	69833.9844	3509025614.2797	3509025544.4457	-0.0491	0.4341	-0.2283	-1.5026	4.5385	-8.7535	-0.1540	1.3613	-0.0141	69833.9844	3509025614.2891	3509025544.4551	-1.3653	-3.5568	0.3728	0.0484	9.8027	-0.0118	-0.1818	-0.6226	-0.2742	0.0000	0.0000
3509025614.2935	2.6466	-2.6960	-1.1056	-1.3211	9.4905	2.1369	-0.5924	-0.3981	-0.2907	3509025614.2999	1.0508	-1.9618	0.4925	-1.2463	9.6218	-1.7182	-0.1904	-0.6816	0.1613	3509025614.2653	0.2068	-0.2302	-0.0956	1.3017	4.8090	-8.1908	-0.0946	-0.0312	0.5419	3509025614.2970	0.9490	-1.2992	0.7236	0.7281	9.5263	2.3112	-0.0294	-0.5473	-0.4239	69843.7500	3509025614.2853	3509025544.4416	-0.6587	-0.9410	1.1699	0.7934	9.5946	1.0139	0.0673	-0.5830	-0.2168	69843.7500	3509025614.2895	3509025544.4457	-0.0491	0.4341	-0.2283	-1.6578	4.5434	-8.5117	-0.1540	1.3613	-0.0141	69843.7500	3509025614.2988	3509025544.4551	-1.3653	-3.5568	0.3728	0.0499	9.8043	0.1438	-0.1596	-0.6264	-0.2535	0.0000	0.0000
3509025614.3032	2.6466	-2.6960	-1.1056	-1.4015	9.4141	2.0632	-0.5543	-0.3476	-0.2777	3509025614.3096	1.0508	-1.9618	0.4925	-1.0871	9.5462	-1.4808	-0.1962	-0.6738	0.1613	3509025614.2750	0.2068	-0.2302	-0.0956	1.3796	4.8859	-8.3460	-0.0905	-0.0521	0.5374	3509025614.3067	0.9490	-1.2992	0.7236	0.6499	9.5263	2.2348	-0.0294	-0.5473	-0.4239	69853.5156	3509025614.2951	3509025544.4416	-0.6587	-0.9410	1.1699	0.7152	9.7501	1.0124	0.0673	-0.5830	-0.2168	69853.5156	3509025614.2992	3509025544.4457	-0.0491	0.4341	-0.2283	-1.5010	4.5417	-8.5944	-0.1380	1.3445	-0.0188	69853.5156	3509025614.3086	3509025544.4551	-1.3653	-3.5568	0.3728	0.0499	9.8808	0.1430	-0.1874	-0.6034	-0.2673	0.0000	0.0000
