Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2297314.4531	2.7350	-2.1139	-0.0543	-1.0106	9.6432	1.3050	-0.2590	-0.6680	-0.0521	2298906.2500	0.0331	-0.2782	-0.0793	0.2662	9.7211	0.4026	-0.2538	-0.6191	-0.0430	2298906.2500	0.1857	0.2273	0.0460	1.9246	5.1250	-7.9697	-0.1087	-0.0625	0.5749	2298388.6719	1.5307	0.2038	-0.6850	1.1846	9.6026	1.5339	-0.0196	-0.5556	-0.3794	2298906.2500	3509014395.4424	3509012096.5361	0.3558	-0.2328	0.5337	0.8716	9.7580	1.8024	0.0837	-0.5000	-0.2526	2298906.2500	0.2144	-0.1481	-0.4107	-1.0267	5.3146	-8.4601	-0.3040	1.4496	0.1502	2296230.4687	2.8135	-3.1330	1.4635	0.5816	9.0141	-2.4146	-0.1484	-0.6571	-0.1129	0.0000	0.0000
2297324.2187	3.0838	-1.1508	-0.0415	-1.0114	9.6432	1.2298	-0.2667	-0.6621	-0.0304	2298916.0156	0.0331	-0.2782	-0.0793	0.1866	9.8007	0.5583	-0.2538	-0.6191	-0.0430	2298916.0156	0.1857	0.2273	0.0460	1.9246	5.1250	-7.9697	-0.1046	-0.0583	0.5617	2298398.4375	1.3929	-1.4469	-0.7085	1.1838	9.6790	1.4559	-0.0314	-0.5638	-0.3630	2298916.0156	3509014395.4521	3509012096.5361	0.3558	-0.2328	0.5337	0.7934	9.7564	1.6444	0.0837	-0.5000	-0.2526	2298916.0156	0.2144	-0.1481	-0.4107	-1.1048	5.4701	-8.3821	-0.3040	1.4496	0.1502	2296240.2344	2.8135	-3.1330	1.4635	0.3427	9.4728	-2.4192	-0.1558	-0.6456	-0.1060	0.0000	0.0000
2297333.9844	3.0838	-1.1508	-0.0415	-1.0121	9.6432	1.1546	-0.2629	-0.6544	-0.0369	2298925.7812	0.0331	-0.2782	-0.0793	0.2662	9.7219	0.4812	-0.2731	-0.6504	-0.0366	2298925.7812	0.1857	0.2273	0.0460	1.8467	5.1257	-7.8921	-0.1046	-0.0583	0.5617	2298408.2031	1.3929	-1.4469	-0.7085	1.1831	9.6790	1.3787	-0.0314	-0.5638	-0.3630	2298925.7812	3509014395.4619	3509012096.5361	0.3558	-0.2328	0.5337	0.7934	9.4462	1.7265	0.0837	-0.5319	-0.2568	2298925.7812	0.2144	-0.1481	-0.4107	-0.8691	5.3145	-8.4633	-0.2940	1.4517	0.1432	2296250.0000	2.8135	-3.1330	1.4635	0.5035	9.5508	-2.2644	-0.1725	-0.6533	-0.1129	0.0000	0.0000
2297343.7500	3.0838	-1.1508	-0.0415	-0.8520	9.7196	1.2274	-0.2724	-0.6718	-0.0260	2298935.5469	0.0331	-0.2782	-0.0793	0.2662	9.7227	0.5598	-0.2615	-0.6582	-0.0387	2298935.5469	-0.0114	0.1847	-0.0284	1.8467	5.1257	-7.8921	-0.1107	-0.0437	0.5705	2298417.9687	1.3929	-1.4469	-0.7085	1.0291	9.5263	1.4590	-0.0275	-0.5700	-0.3653	2298935.5469	3509014395.4717	3509012096.5361	0.4015	-0.5695	0.5304	0.7934	9.6787	1.6452	0.0837	-0.5447	-0.2589	2298935.5469	0.0439	0.2347	-0.2892	-1.0251	5.2407	-8.2995	-0.3040	1.4622	0.1573	2296259.7656	1.5116	-3.4357	3.6068	0.3443	9.2450	-2.2613	-0.1614	-0.6226	-0.1106	0.0000	0.0000
2297353.5156	3.0838	-1.1508	-0.0415	-1.0895	9.5668	1.3817	-0.2629	-0.6544	-0.0369	2298945.3125	-0.1687	-0.2425	-0.0125	0.1866	9.8007	0.5583	-0.2788	-0.6621	-0.0409	2298945.3125	-0.0114	0.1847	-0.0284	1.8467	5.1242	-8.0457	-0.1127	-0.0437	0.5705	2298427.7344	1.7450	-1.0825	-0.4818	0.9509	9.6790	1.3810	-0.0431	-0.6173	-0.3724	2298945.3125	3509014395.4814	3509012096.5361	0.4015	-0.5695	0.5304	0.9499	9.6025	1.8040	0.0857	-0.5383	-0.2547	2298945.3125	0.0439	0.2347	-0.2892	-1.0267	5.2376	-8.4586	-0.2940	1.4328	0.1549	2296269.5312	1.5116	-3.4357	3.6068	0.5035	9.1686	-2.2606	-0.1558	-0.6226	-0.1060	0.0000	0.0000
2297363.2812	3.3247	-3.3778	0.0229	-1.0106	9.5668	1.3057	-0.2724	-0.6641	-0.0260	2298955.0781	-0.1687	-0.2425	-0.0125	0.2662	9.8007	0.5583	-0.2788	-0.6621	-0.0409	2298955.0781	-0.0114	0.1847	-0.0284	1.8467	5.1242	-8.0457	-0.1147	-0.0667	0.5617	2298437.5000	1.7450	-1.0825	-0.4818	1.0306	9.6026	1.6126	-0.0176	-0.5432	-0.3583	2298955.0781	3509014395.4912	3509012096.5361	0.4015	-0.5695	0.5304	0.8716	9.6787	1.6452	0.0857	-0.5383	-0.2547	2298955.0781	0.0439	0.2347	-0.2892	-0.9463	5.2407	-8.3011	-0.2940	1.4328	0.1549	2296279.2969	1.5116	-3.4357	3.6068	0.4216	9.0133	-2.4923	-0.1614	-0.6494	-0.1129	0.0000	0.0000
2297373.0469	3.3247	-3.3778	0.0229	-0.9317	9.7196	1.2282	-0.2705	-0.7107	-0.0477	2298964.8437	-0.1687	-0.2425	-0.0125	0.2662	9.7235	0.6385	-0.2731	-0.6367	-0.0323	2298964.8437	-0.0062	-0.3091	0.1186	1.8467	5.1257	-7.8921	-0.1147	-0.0667	0.5617	2298447.2656	1.7450	-1.0825	-0.4818	1.1072	9.6790	1.5339	-0.0176	-0.5432	-0.3583	2298964.8437	3509014395.5009	3509012096.5361	0.5564	-0.8462	0.7880	0.7934	9.6017	1.7250	0.0918	-0.5043	-0.2505	2298964.8437	-0.1438	0.3042	-0.3293	-1.0259	5.2392	-8.3790	-0.2980	1.4664	0.1573	2296289.0625	3.4241	-2.3914	0.1510	0.5815	9.7022	-2.4214	-0.1633	-0.6379	-0.1152	0.0000	0.0000
