Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3215947.2656	2.4321	0.8655	-0.5173	-0.8977	8.5740	4.6236	-0.4190	-0.7068	-0.2755	3217539.0625	0.1574	0.0220	1.7623	-0.2114	9.7148	-0.2262	-0.3192	-0.6797	0.1591	3217060.5469	0.0985	-0.3582	0.2235	0.4453	5.9924	-7.5026	-0.1569	0.5021	0.6476	3217021.4844	2.0970	-3.3394	0.0849	1.4237	9.5263	2.2271	-0.0314	-0.5206	-0.4801	3217119.1406	3509015313.6183	3509012096.4992	0.3048	0.3943	0.0039	0.7934	9.6049	2.0410	0.3041	-0.6213	-0.2863	3217324.2187	0.3896	0.3811	-0.0606	0.1811	7.8301	-5.9077	-0.0260	1.3445	0.4883	3214511.7187	1.0808	1.8011	0.0780	1.0723	9.7154	-1.0996	-0.2319	-0.6207	-0.2189	0.0000	0.0000
3215957.0312	2.4321	0.8655	-0.5173	-0.8985	8.5740	4.5484	-0.4114	-0.6971	-0.2777	3217548.8281	0.1574	0.0220	1.7623	-0.2910	9.8709	-0.2294	-0.3346	-0.7070	0.1548	3217070.3125	0.2070	-0.2170	0.0110	0.4453	6.0700	-7.5802	-0.1549	0.5125	0.6498	3217031.2500	2.0970	-3.3394	0.0849	1.4237	9.5263	2.2271	-0.0275	-0.5267	-0.4871	3217128.9062	3509015313.6281	3509012096.4992	0.3048	0.3943	0.0039	0.6369	9.6064	2.1990	0.3041	-0.6213	-0.2863	3217333.9844	0.3896	0.3811	-0.0606	0.1795	7.9039	-6.0684	-0.0260	1.3445	0.4883	3214521.4844	1.0808	1.8011	0.0780	1.0723	9.6390	-1.0988	-0.2375	-0.6169	-0.2028	0.0000	0.0000
3215966.7969	2.4321	0.8655	-0.5173	-0.9774	8.4212	4.6259	-0.4076	-0.6796	-0.2777	3217558.5937	0.1574	0.0220	1.7623	-0.2114	9.7148	-0.2262	-0.3346	-0.7070	0.1548	3217080.0781	0.2070	-0.2170	0.0110	0.5231	5.9132	-7.5794	-0.1489	0.5125	0.6652	3217041.0156	2.0970	-3.3394	0.0849	1.3463	9.5263	2.2278	-0.0275	-0.5267	-0.4871	3217138.6719	3509015313.6379	3509012096.4992	0.0295	0.5499	-0.1017	0.6369	9.5295	2.2788	0.3163	-0.5851	-0.2863	3217343.7500	0.5423	0.4610	-0.3965	0.1015	7.8285	-5.9857	-0.0320	1.3887	0.4859	3214531.2500	1.0808	1.8011	0.0780	1.0739	9.6405	-0.9433	-0.2301	-0.5900	-0.2166	0.0000	0.0000
3215976.5625	3.0732	-0.7058	-0.0246	-0.9789	8.7267	4.4725	-0.3771	-0.6816	-0.2907	3217568.3594	-0.2043	0.1012	1.4418	-0.1318	9.7928	-0.2278	-0.3250	-0.7012	0.1548	3217089.8437	0.2070	-0.2170	0.0110	0.4453	5.9916	-7.5794	-0.1489	0.5125	0.6652	3217050.7812	1.7144	-2.2322	-0.5525	1.3463	9.5263	2.2278	-0.0510	-0.5658	-0.4824	3217148.4375	3509015313.6476	3509012096.4992	0.0295	0.5499	-0.1017	0.7152	9.6056	2.1200	0.3000	-0.5787	-0.2842	3217353.5156	0.5423	0.4610	-0.3965	0.1803	7.8285	-5.9873	-0.0400	1.3466	0.4883	3214541.0156	0.2320	1.5287	0.3847	0.9935	9.7162	-1.0218	-0.2263	-0.6092	-0.2005	0.0000	0.0000
3215986.3281	3.0732	-0.7058	-0.0246	-0.8195	8.6504	4.4716	-0.3867	-0.6971	-0.2972	3217578.1250	-0.2043	0.1012	1.4418	-0.2910	9.7921	-0.3064	-0.3192	-0.6797	0.1634	3217099.6094	0.3101	-0.3486	0.4039	0.3674	5.9916	-7.5786	-0.1509	0.5229	0.6476	3217060.5469	1.7144	-2.2322	-0.5525	1.1931	9.4499	2.3845	-0.0294	-0.5494	-0.4871	3217158.2031	3509015313.6574	3509012096.4992	0.0295	0.5499	-0.1017	0.7934	9.6834	2.1192	0.3000	-0.5787	-0.2842	3217363.2812	0.5423	0.4610	-0.3965	0.1818	7.9857	-5.8313	-0.0400	1.3739	0.4812	3214550.7812	0.2320	1.5287	0.3847	0.9131	9.6390	-1.0988	-0.2430	-0.6264	-0.2143	0.0000	0.0000
3215996.0937	3.0732	-0.7058	-0.0246	-0.9789	8.5740	4.4740	-0.3829	-0.6738	-0.2972	3217587.8906	-0.2043	0.1012	1.4418	-0.2114	9.7921	-0.3064	-0.3308	-0.7012	0.1527	3217109.3750	0.3101	-0.3486	0.4039	0.4453	5.9931	-7.4257	-0.1670	0.5000	0.6476	3217070.3125	1.7144	-2.2322	-0.5525	1.2690	9.5263	2.2286	-0.0353	-0.5185	-0.4895	3217167.9687	3509015313.6672	3509012096.4992	0.3649	0.2867	-0.0737	0.8716	9.6064	2.1990	0.3122	-0.5872	-0.2779	3217373.0469	0.5423	0.4610	-0.3965	0.1803	7.8285	-5.9873	-0.0240	1.3739	0.4812	3214560.5469	0.2320	1.5287	0.3847	0.9943	9.5641	-0.9425	-0.2468	-0.6149	-0.2005	0.0000	0.0000
3216005.8594	3.0269	-0.4598	-0.1521	-0.8203	8.6504	4.3964	-0.3867	-0.6951	-0.2863	3217597.6562	0.0148	-0.2268	1.2507	-0.2910	9.7148	-0.2262	-0.3308	-0.7012	0.1527	3217119.1406	0.3101	-0.3486	0.4039	0.6010	5.9939	-7.3505	-0.1670	0.5000	0.6476	3217080.0781	2.1277	-2.0939	-0.3470	1.2690	9.3735	2.2301	-0.0353	-0.5185	-0.4895	3217177.7344	3509015313.6769	3509012096.4992	0.3649	0.2867	-0.0737	0.7934	9.6056	2.1200	0.2959	-0.6128	-0.2968	3217382.8125	0.8529	0.4382	-0.5559	0.1023	7.9071	-5.9077	-0.0400	1.3718	0.4718	3214570.3125	0.2320	1.5287	0.3847	0.9943	9.7170	-0.9441	-0.2523	-0.5939	-0.2120	0.0000	0.0000
