Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3268300.7812	3.2233	-0.9528	-0.0940	-1.2241	8.9558	3.8710	-0.3714	-0.7029	-0.2473	3269892.5781	0.2465	-0.1545	-0.3865	-0.1318	9.7172	0.0096	-0.3423	-0.7285	0.1570	3269414.0625	-0.2390	0.1271	-0.1028	0.5231	5.9939	-7.3497	-0.0101	0.4792	0.8216	3269375.0000	1.5001	8.1685	-1.1834	1.2821	9.2971	3.5432	-0.0157	-0.4918	-0.5621	3269472.6562	3509015365.9754	3509012096.5027	-0.7592	-0.4968	1.7870	0.0892	9.5334	2.6738	0.3490	-0.6043	-0.2968	3269677.7344	-0.5634	0.2397	-0.1508	0.8052	7.3552	-6.5475	-0.1640	1.3193	0.5446	3266865.2344	-0.6838	-1.1654	0.0728	1.0708	9.6374	-1.2543	-0.2338	-0.6188	-0.1797	0.0000	0.0000
3268310.5469	3.2233	-0.9528	-0.0940	-1.3052	8.8795	3.7221	-0.3848	-0.7165	-0.2451	3269902.3437	0.2465	-0.1545	-0.3865	-0.1318	9.8740	0.0851	-0.3154	-0.6953	0.1591	3269423.8281	0.0182	0.1547	-0.0747	0.6010	6.0708	-7.5049	-0.0040	0.4729	0.8260	3269384.7656	1.5001	8.1685	-1.1834	1.2040	9.0680	3.4691	-0.0196	-0.4609	-0.5504	3269482.4219	3509015365.9851	3509012096.5027	-0.4750	0.4938	1.2609	0.1675	9.6104	2.5940	0.3551	-0.6043	-0.3011	3269687.5000	-0.5634	0.2397	-0.1508	0.7264	7.4322	-6.5475	-0.1640	1.3193	0.5446	3266875.0000	-0.6838	-1.1654	0.0728	1.0700	9.4837	-1.3306	-0.2468	-0.6341	-0.1843	0.0000	0.0000
3268320.3125	3.2957	-0.9381	-0.3362	-1.2248	9.0322	3.7950	-0.3752	-0.6874	-0.2343	3269912.1094	0.3509	1.7946	-0.4305	-0.0522	9.7968	0.1652	-0.3212	-0.6934	0.1505	3269433.5937	0.0182	0.1547	-0.0747	0.5231	5.9139	-7.5025	-0.0181	0.4646	0.8018	3269394.5312	1.5766	2.7318	-0.7235	1.1281	9.1444	3.6235	-0.0196	-0.4609	-0.5504	3269492.1875	3509015365.9949	3509012096.5027	-0.4750	0.4938	1.2609	0.0892	9.6120	2.7520	0.3408	-0.6128	-0.2968	3269697.2656	-0.7187	0.2739	-0.0713	0.8052	7.4322	-6.5491	-0.1620	1.3298	0.5540	3266884.7656	0.1219	-0.7265	0.0254	0.9896	9.6358	-1.4098	-0.2579	-0.5996	-0.1774	0.0000	0.0000
3268330.0781	3.2957	-0.9381	-0.3362	-1.3022	8.9558	4.0222	-0.3848	-0.6951	-0.2343	3269921.8750	0.3509	1.7946	-0.4305	-0.0522	9.7960	0.0866	-0.3212	-0.6895	0.1570	3269443.3594	0.0182	0.1547	-0.0747	0.4453	6.0716	-7.4265	-0.0181	0.4646	0.8018	3269404.2969	1.5766	2.7318	-0.7235	1.1281	9.2208	3.6227	-0.0275	-0.4650	-0.5480	3269501.9531	3509015366.0047	3509012096.5027	-0.4750	0.4938	1.2609	0.1675	9.5350	2.8318	0.3714	-0.6064	-0.3074	3269707.0312	-0.7187	0.2739	-0.0713	0.8044	7.2766	-6.6256	-0.1760	1.3004	0.5446	3266894.5312	0.1219	-0.7265	0.0254	1.0692	9.5594	-1.4091	-0.2505	-0.6092	-0.1866	0.0000	0.0000
3268339.8437	3.2957	-0.9381	-0.3362	-1.1436	8.9558	3.9454	-0.3695	-0.6796	-0.2343	3269931.6406	0.3509	1.7946	-0.4305	0.0274	9.7960	0.0866	-0.3212	-0.6895	0.1570	3269453.1250	0.2961	0.4626	-0.2720	0.5231	5.9947	-7.2729	-0.0141	0.4771	0.8304	3269414.0625	1.5766	2.7318	-0.7235	1.1258	9.1444	3.3919	-0.0294	-0.4979	-0.5574	3269511.7187	3509015366.0144	3509012096.5027	-0.4750	0.4938	1.2609	0.0892	9.5334	2.6738	0.3714	-0.6064	-0.3074	3269716.7969	-0.7187	0.2739	-0.0713	0.8036	7.4290	-6.7082	-0.1860	1.3361	0.5493	3266904.2969	0.1219	-0.7265	0.0254	1.0708	9.5609	-1.2536	-0.2356	-0.6264	-0.1774	0.0000	0.0000
3268349.6094	3.2957	-0.9381	-0.3362	-1.1444	8.9558	3.8702	-0.3810	-0.7029	-0.2343	3269941.4062	0.5226	1.8794	-0.2838	0.1070	9.7187	0.1668	-0.3269	-0.7090	0.1613	3269462.8906	0.2961	0.4626	-0.2720	0.5231	6.0716	-7.4273	-0.0161	0.4646	0.8194	3269423.8281	1.5766	2.7318	-0.7235	1.1266	9.2208	3.4683	-0.0216	-0.4650	-0.5504	3269521.4844	3509015366.0242	3509012096.5027	-0.2403	1.4696	0.3517	0.1675	9.5334	2.6738	0.3449	-0.6085	-0.2989	3269726.5625	-0.7187	0.2739	-0.0713	0.8044	7.4306	-6.6286	-0.1860	1.3361	0.5493	3266914.0625	1.2336	0.5297	0.1477	0.9904	9.6366	-1.3321	-0.2560	-0.6226	-0.1751	0.0000	0.0000
3268359.3750	3.1455	-0.8446	-0.1869	-1.2233	8.8795	3.9469	-0.3733	-0.7146	-0.2408	3269951.1719	0.5226	1.8794	-0.2838	0.1070	9.7172	0.0096	-0.3135	-0.6758	0.1462	3269472.6562	0.2961	0.4626	-0.2720	0.4453	5.9931	-7.4257	-0.0201	0.4792	0.8040	3269433.5937	1.1633	2.0638	-0.9190	1.0492	9.2208	3.4691	-0.0216	-0.4650	-0.5504	3269531.2500	3509015366.0340	3509012096.5027	-0.2403	1.4696	0.3517	0.2457	9.6120	2.7520	0.3694	-0.5957	-0.3011	3269736.3281	-1.0156	0.3628	-0.1084	0.8044	7.3536	-6.6271	-0.1680	1.3130	0.5516	3266923.8281	1.2336	0.5297	0.1477	1.1512	9.7146	-1.1773	-0.2468	-0.6073	-0.1751	0.0000	0.0000
