Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3660410.1562	3.8319	-2.6158	0.3565	-1.0639	8.8795	3.9453	-0.5562	-0.8699	-0.0217	3662001.9531	2.1362	7.8217	0.6333	-0.9279	9.7148	-0.2262	-0.4173	-0.8535	0.4624	3661523.4375	-0.0260	0.2104	0.2304	0.2895	5.9939	-7.3473	0.0966	0.0271	1.2819	3661484.3750	1.8521	-1.8097	1.2289	0.5114	9.1444	3.8612	0.2765	-0.3148	-0.7916	3661582.0312	3509015758.0672	3509012096.4852	0.3709	-1.0583	0.5255	0.4804	9.6064	2.1990	0.4327	-0.5723	-0.4653	3661787.1094	0.1686	0.2303	-0.3079	0.8778	6.6496	-7.1717	-0.0800	1.3298	0.7324	3658974.6094	1.0874	-1.0746	-0.7860	1.3939	9.6421	-0.7878	-0.5937	-0.5996	-0.3594	0.0000	0.0000
3660419.9219	3.5688	-2.2296	0.8748	-1.1421	8.8795	4.0965	-0.5333	-0.8544	-0.0022	3662011.7187	2.1362	7.8217	0.6333	-0.6095	9.6352	-0.3819	-0.4038	-0.8418	0.4667	3661533.2031	-0.0260	0.2104	0.2304	0.2895	5.9932	-7.4242	0.1127	0.0417	1.2577	3661494.1406	0.8878	-6.1693	1.8994	0.4340	9.0680	3.8628	0.2824	-0.3560	-0.8033	3661591.7969	3509015758.0770	3509012096.4852	0.3709	-1.0583	0.5255	0.5587	9.5295	2.2788	0.4408	-0.5489	-0.4484	3661796.8750	0.2283	0.3121	-0.5810	0.7966	6.7218	-7.4103	-0.0800	1.3319	0.7324	3658984.3750	0.2527	-0.5751	-0.5860	1.3158	9.6436	-0.6323	-0.6048	-0.6341	-0.3664	0.0000	0.0000
3660429.6875	3.5688	-2.2296	0.8748	-1.3030	8.8795	3.9477	-0.5524	-0.8816	-0.0304	3662021.4844	2.1362	7.8217	0.6333	-0.6095	9.7913	-0.3850	-0.4038	-0.8418	0.4667	3661542.9687	-0.0260	0.2104	0.2304	0.3674	6.0716	-7.4257	0.0926	0.0312	1.3084	3661503.9062	0.8878	-6.1693	1.8994	0.5896	9.0680	3.9384	0.2667	-0.3560	-0.8009	3661601.5625	3509015758.0867	3509012096.4852	0.3700	0.1339	0.4302	0.5587	9.6096	2.5150	0.4388	-0.6128	-0.4568	3661806.6406	0.2283	0.3121	-0.5810	0.7974	6.8004	-7.3323	-0.0700	1.3319	0.6831	3658994.1406	0.2527	-0.5751	-0.5860	1.3970	9.6452	-0.4768	-0.6030	-0.6341	-0.3664	0.0000	0.0000
3660439.4531	3.5688	-2.2296	0.8748	-1.3045	8.8031	3.7981	-0.5429	-0.8563	-0.0260	3662031.2500	2.1362	7.8217	0.6333	-0.5299	9.7140	-0.3048	-0.4115	-0.8457	0.4667	3661552.7344	0.1774	-0.1882	0.1180	0.2895	5.9932	-7.4242	0.0845	0.0417	1.3084	3661513.6719	0.8878	-6.1693	1.8994	0.5122	9.0680	3.9392	0.2784	-0.3498	-0.7986	3661611.3281	3509015758.0965	3509012096.4852	0.3700	0.1339	0.4302	0.5587	9.6088	2.4360	0.4306	-0.5681	-0.4463	3661816.4062	0.2283	0.3121	-0.5810	0.8762	6.8004	-7.3339	-0.0600	1.3739	0.6831	3659003.9062	0.2527	-0.5751	-0.5860	1.4758	9.5679	-0.5538	-0.6122	-0.6360	-0.3548	0.0000	0.0000
3660449.2187	2.4756	-0.1475	0.6275	-1.1436	9.0322	3.9446	-0.5619	-0.8660	-0.0174	3662041.0156	0.7598	3.7931	0.4682	-0.6095	9.7928	-0.2278	-0.4173	-0.8437	0.4602	3661562.5000	0.1774	-0.1882	0.1180	0.3674	6.0723	-7.3489	0.0845	0.0417	1.3084	3661523.4375	1.8981	-3.7050	1.6345	0.3566	9.1444	3.8628	0.2784	-0.3498	-0.7986	3661621.0937	3509015758.1063	3509012096.4852	0.3700	0.1339	0.4302	0.5587	9.6080	2.3570	0.4306	-0.5681	-0.4463	3661826.1719	0.2283	0.3121	-0.5810	0.9550	6.7234	-7.3339	-0.0840	1.3256	0.7347	3659013.6719	-0.6424	-0.5297	-0.3531	1.3150	9.6428	-0.7100	-0.6160	-0.5996	-0.3525	0.0000	0.0000
3660458.9844	2.4756	-0.1475	0.6275	-0.9045	8.9558	3.9430	-0.5467	-0.8330	0.0022	3662050.7812	0.7598	3.7931	0.4682	-0.9279	9.7156	-0.1476	-0.4135	-0.8516	0.4645	3661572.2656	0.1774	-0.1882	0.1180	0.2895	6.0700	-7.5786	0.0905	0.0167	1.2445	3661533.2031	1.8981	-3.7050	1.6345	0.5903	9.0680	4.0156	0.2804	-0.3807	-0.8197	3661630.8594	3509015758.1160	3509012096.4852	0.2620	-0.4611	0.3017	0.6369	9.6080	2.3570	0.4306	-0.5574	-0.4526	3661835.9375	-0.0037	0.5275	-0.3658	0.7974	6.8004	-7.3323	-0.0840	1.3256	0.7347	3659023.4375	-0.6424	-0.5297	-0.3531	1.3954	9.6436	-0.6323	-0.6178	-0.6092	-0.3502	0.0000	0.0000
3660468.7500	2.4756	-0.1475	0.6275	-0.9835	8.8031	4.0205	-0.5581	-0.8660	-0.0130	3662060.5469	0.7598	3.7931	0.4682	-0.7687	9.7913	-0.3850	-0.4135	-0.8516	0.4645	3661582.0312	-0.0931	-0.1230	0.0605	0.2895	5.9147	-7.4234	0.0865	0.0375	1.3106	3661542.9687	1.8981	-3.7050	1.6345	0.5106	9.0680	3.7848	0.2608	-0.3354	-0.7986	3661640.6250	3509015758.1258	3509012096.4852	0.2620	-0.4611	0.3017	0.5587	9.6080	2.3570	0.4469	-0.5957	-0.4526	3661845.7031	-0.0037	0.5275	-0.3658	0.8762	6.8004	-7.3339	-0.0820	1.3676	0.6854	3659033.2031	-0.6424	-0.5297	-0.3531	1.3954	9.6436	-0.6323	-0.6160	-0.6226	-0.3594	0.0000	0.0000
