Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
90869.1406	-0.1721	-2.2689	1.7721	-2.9856	9.1086	3.0598	-0.4133	-0.8971	0.0347	90869.1406	1.8067	-2.6404	0.7651	1.0622	9.6383	-0.0675	-0.5288	-0.8184	0.2989	90869.1406	0.1852	0.2009	-0.1671	-0.9562	4.2557	-8.6236	0.2435	0.1896	1.2819	90869.1406	0.0000	-0.8744	-0.3292	0.8078	9.6026	2.5413	0.2412	-0.4300	-0.7166	90869.1406	3509012187.4974	3509012096.6282	0.2562	1.2813	-0.2782	0.9499	9.6660	0.3811	0.1898	-0.6064	-0.4526	90869.1406	0.3533	-0.1035	-0.5655	0.0040	5.7888	-7.8534	-0.0860	1.3067	0.6291	90869.1406	0.4550	1.5590	1.3911	0.2006	9.7193	-0.7108	-0.5918	-0.6667	-0.2903	0.0000	0.0000
90878.9062	-0.1721	-2.2689	1.7721	-2.9067	9.1086	2.9838	-0.4114	-0.9184	0.0325	90878.9062	1.8067	-2.6404	0.7651	0.9030	9.7180	0.0882	-0.5308	-0.8301	0.2903	90878.9062	0.1852	0.2009	-0.1671	-0.8005	4.2557	-8.6252	0.2435	0.1896	1.2819	90878.9062	0.0000	-0.8744	-0.3292	0.8851	9.5263	2.5412	0.2412	-0.4444	-0.7237	90878.9062	3509012187.5071	3509012096.6282	0.2562	1.2813	-0.2782	0.9499	9.7446	0.4593	0.1898	-0.6064	-0.4526	90878.9062	1.0431	-0.7021	-0.2647	0.0040	5.7888	-7.8534	-0.0680	1.3172	0.6056	90878.9062	0.4550	1.5590	1.3911	0.2810	9.7201	-0.6330	-0.5770	-0.6552	-0.2903	0.0000	0.0000
90888.6719	-0.1721	-2.2689	1.7721	-2.9863	9.0322	2.9854	-0.4114	-0.8971	0.0499	90888.6719	0.5024	-3.0307	0.5587	0.8234	9.6391	0.0111	-0.5308	-0.8301	0.2903	90888.6719	0.1852	0.2009	-0.1671	-0.8005	4.3341	-8.6260	0.2374	0.1938	1.2555	90888.6719	0.2143	1.1727	-0.5352	0.9618	9.4499	2.4640	0.2412	-0.4444	-0.7237	90888.6719	3509012187.5169	3509012096.6282	0.2562	1.2813	-0.2782	1.0281	9.8215	0.3796	0.1980	-0.6021	-0.4526	90888.6719	1.0431	-0.7021	-0.2647	-0.0756	5.8642	-7.9329	-0.0680	1.3172	0.6056	90888.6719	0.4550	1.5590	1.3911	0.2022	9.7209	-0.5553	-0.5714	-0.6456	-0.2880	0.0000	0.0000
90898.4375	-0.2928	1.7826	0.6424	-2.9059	9.1086	3.0590	-0.4210	-0.9068	0.0390	90898.4375	0.5024	-3.0307	0.5587	0.9030	9.6383	-0.0675	-0.5269	-0.8809	0.2946	90898.4375	0.2547	-0.0978	0.1637	-0.8783	4.2541	-8.7781	0.2435	0.1750	1.3128	90898.4375	0.2143	1.1727	-0.5352	0.8078	9.6026	2.5413	0.2294	-0.4465	-0.7260	90898.4375	3509012187.5267	3509012096.6282	0.2562	1.2813	-0.2782	0.9499	9.6668	0.4601	0.2020	-0.6468	-0.4505	90898.4375	1.0431	-0.7021	-0.2647	0.0031	6.0181	-7.9376	-0.0680	1.2920	0.6033	90898.4375	0.6363	0.9989	1.2626	0.1218	9.7201	-0.6330	-0.5584	-0.6475	-0.2880	0.0000	0.0000
90908.2031	-0.2928	1.7826	0.6424	-2.8300	9.0322	2.6830	-0.4190	-0.8951	0.0369	90908.2031	0.5024	-3.0307	0.5587	0.8234	9.7164	-0.0690	-0.5250	-0.8203	0.3011	90908.2031	0.2547	-0.0978	0.1637	-0.7226	4.2557	-8.6260	0.2435	0.1750	1.3128	90908.2031	0.2143	1.1727	-0.5352	0.8070	9.4499	2.4656	0.2569	-0.4444	-0.7237	90908.2031	3509012187.5364	3509012096.6282	-0.0122	0.7949	0.2990	0.8716	9.7438	0.3803	0.1878	-0.5915	-0.4421	90908.2031	1.2917	-0.6934	-0.3774	0.0040	5.8658	-7.8550	-0.0760	1.2899	0.6315	90908.2031	0.6363	0.9989	1.2626	0.2014	9.6436	-0.6323	-0.5603	-0.6207	-0.2857	0.0000	0.0000
90917.9687	-0.2928	1.7826	0.6424	-2.7488	9.0322	2.8326	-0.4152	-0.9165	0.0325	90917.9687	0.5024	-3.0307	0.5587	0.9826	9.7164	-0.0690	-0.5250	-0.8203	0.3011	90917.9687	0.2547	-0.0978	0.1637	-0.9562	4.2557	-8.6236	0.2213	0.1812	1.2996	90917.9687	0.5817	0.3877	-0.3515	0.7312	9.5263	2.6200	0.2451	-0.4712	-0.7330	90917.9687	3509012187.5462	3509012096.6282	-0.0122	0.7949	0.2990	0.9499	9.8215	0.3796	0.1878	-0.5915	-0.4421	90917.9687	1.2917	-0.6934	-0.3774	0.0032	5.7872	-7.9330	-0.0800	1.2983	0.5962	90917.9687	0.6363	0.9989	1.2626	0.2014	9.5672	-0.6315	-0.5622	-0.6609	-0.2903	0.0000	0.0000
90927.7344	-1.0332	1.7747	-0.9468	-2.6691	9.0322	2.8318	-0.4248	-0.8990	0.0434	90927.7344	0.2831	-1.6393	0.2318	0.8234	9.7180	0.0882	-0.5442	-0.8281	0.2968	90927.7344	0.8737	-0.1036	0.1423	-0.8005	4.3325	-8.7796	0.2435	0.1979	1.2687	90927.7344	0.5817	0.3877	-0.3515	0.8078	9.6026	2.5413	0.2451	-0.4712	-0.7330	90927.7344	3509012187.5559	3509012096.6282	-0.0122	0.7949	0.2990	0.9499	9.5883	0.3819	0.1980	-0.5936	-0.4421	90927.7344	1.2917	-0.6934	-0.3774	0.0032	5.9412	-7.9361	-0.0800	1.2983	0.5962	90927.7344	1.7747	1.7406	1.0201	0.1226	9.6444	-0.5545	-0.5622	-0.6609	-0.2949	0.0000	0.0000
