Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
148076.1719	-0.0471	-6.3205	2.3443	-2.0255	9.1086	3.4262	-0.4400	-0.8583	-0.0694	148076.1719	-0.7007	-0.2511	2.7669	0.5846	9.7187	0.1668	-0.4173	-0.8613	0.2172	148076.1719	0.1179	-0.1443	0.2559	-0.8005	4.2557	-8.6252	0.2414	0.0563	1.0639	148076.1719	0.9796	3.2594	1.9119	0.1895	9.6026	2.6246	0.2431	-0.4712	-0.6323	148076.1719	3509012244.6983	3509012096.6221	-0.2840	-0.1347	-2.4979	0.8716	9.6660	0.3811	0.1367	-0.6915	-0.3305	148076.1719	0.4130	0.0086	-0.8389	0.0827	6.0197	-7.8596	-0.2100	1.2143	0.5657	148076.1719	6.8806	-1.7103	-1.0178	-0.2036	9.8660	-1.3344	-0.4694	-0.6609	-0.2834	0.0000	0.0000
148085.9375	-0.0471	-6.3205	2.3443	-2.3450	8.9558	3.3557	-0.4495	-0.8932	-0.0889	148085.9375	-0.7007	-0.2511	2.7669	0.7438	9.7203	0.3240	-0.4250	-0.8262	0.2129	148085.9375	0.1179	-0.1443	0.2559	-0.8783	4.2564	-8.5476	0.2173	0.0563	1.1101	148085.9375	0.9796	3.2594	1.9119	0.1895	9.5263	2.6254	0.2314	-0.4444	-0.6206	148085.9375	3509012244.7080	3509012096.6221	-0.4898	-0.3161	-3.2655	1.0281	9.6668	0.4601	0.1224	-0.6532	-0.3411	148085.9375	0.4130	0.0086	-0.8389	0.2403	6.0196	-7.8628	-0.2100	1.2143	0.5657	148085.9375	4.8992	-0.6660	-1.4083	-0.2021	9.8675	-1.1789	-0.4712	-0.6590	-0.2995	0.0000	0.0000
148095.7031	-0.0471	-6.3205	2.3443	-2.3450	9.0322	3.3550	-0.4324	-0.8583	-0.0694	148095.7031	-1.5549	1.7611	3.3261	0.6642	9.7195	0.2454	-0.4250	-0.8262	0.2129	148095.7031	0.3576	0.5166	0.0624	-0.9562	4.2557	-8.6236	0.2394	0.0771	1.0617	148095.7031	0.9796	3.2594	1.9119	0.3443	9.5263	2.6239	0.2314	-0.4444	-0.6206	148095.7031	3509012244.7178	3509012096.6221	-0.4898	-0.3161	-3.2655	1.0281	9.7446	0.4593	0.1224	-0.6532	-0.3411	148095.7031	0.2399	0.1263	-0.9852	0.1615	6.0197	-7.8612	-0.2120	1.2290	0.6103	148095.7031	4.8992	-0.6660	-1.4083	-0.2021	9.7911	-1.1781	-0.4638	-0.6226	-0.2788	0.0000	0.0000
148105.4687	0.3130	-7.3980	1.6349	-2.3450	9.0322	3.3550	-0.4267	-0.8388	-0.0824	148105.4687	-1.5549	1.7611	3.3261	0.5846	9.7203	0.3240	-0.4462	-0.8828	0.2172	148105.4687	0.3576	0.5166	0.0624	-0.8783	4.1004	-8.4692	0.2394	0.0854	1.0661	148105.4687	-1.1174	1.6042	3.4098	0.4185	9.6026	2.3135	0.2529	-0.4527	-0.6183	148105.4687	3509012244.7276	3509012096.6221	-0.4898	-0.3161	-3.2655	1.1064	9.7438	0.3803	0.1449	-0.6766	-0.3263	148105.4687	0.2399	0.1263	-0.9852	-0.0740	5.8674	-7.7738	-0.2280	1.1954	0.6056	148105.4687	4.8992	-0.6660	-1.4083	-0.0421	9.7154	-1.0996	-0.4657	-0.6456	-0.3041	0.0000	0.0000
148115.2344	0.3130	-7.3980	1.6349	-2.4255	9.0322	3.2806	-0.4133	-0.8175	-0.0694	148115.2344	-1.5549	1.7611	3.3261	0.5050	9.7187	0.1668	-0.4154	-0.8379	0.2151	148115.2344	0.3576	0.5166	0.0624	-0.8783	4.3349	-8.5484	0.2394	0.0854	1.0661	148115.2344	-1.1174	1.6042	3.4098	0.2645	9.6790	2.3915	0.2333	-0.4527	-0.6159	148115.2344	3509012244.7373	3509012096.6221	-0.4898	-0.3161	-3.2655	1.0281	9.6652	0.3021	0.1204	-0.6723	-0.3368	148115.2344	0.2399	0.1263	-0.9852	0.3216	5.7164	-7.6195	-0.2280	1.2353	0.5704	148115.2344	4.8992	-0.6660	-1.4083	-0.2036	9.8660	-1.3344	-0.4527	-0.6245	-0.2880	0.0000	0.0000
148125.0000	0.3130	-7.3980	1.6349	-2.3458	8.9558	3.2806	-0.4171	-0.8524	-0.0976	148125.0000	-1.6499	1.0536	4.0014	0.4254	9.7968	0.1652	-0.4327	-0.8203	0.2172	148125.0000	0.3576	0.5166	0.0624	-0.8783	4.1780	-8.5468	0.2394	0.0604	1.1167	148125.0000	-1.1174	1.6042	3.4098	0.3419	9.5263	2.3923	0.2588	-0.4650	-0.6300	148125.0000	3509012244.7471	3509012096.6221	-0.7052	0.1446	-3.4753	1.1064	9.7430	0.3013	0.1204	-0.6723	-0.3368	148125.0000	0.2399	0.1263	-0.9852	-0.0756	5.8642	-7.9329	-0.2280	1.2353	0.5704	148125.0000	0.7740	-0.1968	-0.1825	-0.1225	9.8675	-1.1789	-0.4712	-0.6398	-0.2949	0.0000	0.0000
148134.7656	-0.2108	-5.6285	-0.0249	-2.3443	8.8795	3.4317	-0.4248	-0.8699	-0.0824	148134.7656	-1.6499	1.0536	4.0014	0.4254	9.7960	0.0866	-0.4327	-0.8203	0.2172	148134.7656	0.2339	-0.3847	-0.0518	-0.9562	4.0227	-8.3908	0.2294	0.0708	1.0903	148134.7656	-1.1174	1.6042	3.4098	0.2653	9.6026	2.4695	0.2588	-0.4650	-0.6300	148134.7656	3509012244.7569	3509012096.6221	-0.7052	0.1446	-3.4753	1.2628	9.8207	0.3006	0.1367	-0.6298	-0.3453	148134.7656	-0.1959	-0.5891	-0.8598	0.2388	5.7855	-8.0173	-0.2260	1.1723	0.6080	148134.7656	0.7740	-0.1968	-0.1825	-0.0413	9.7926	-1.0226	-0.4620	-0.6111	-0.2719	0.0000	0.0000
