Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2733378.9062	2.5104	-2.1730	-0.4721	-0.5227	9.4905	2.2793	-0.2610	-0.8097	0.3102	2734970.7031	0.5307	1.0130	-0.3380	-0.2114	9.7132	-0.3835	-0.4327	-0.7617	0.4172	2734970.7031	-0.2100	0.0716	-0.4077	1.7689	4.8874	-8.1962	-0.0161	0.1375	1.3943	2734453.1250	2.0970	0.3074	0.1062	0.6515	9.5263	2.3892	0.0471	-0.4136	-0.8290	2734970.7031	3509014831.4900	3509012096.5193	-0.1775	0.9494	0.5302	0.5587	9.6033	1.8830	0.2245	-0.6000	-0.5495	2734970.7031	-0.2542	0.5248	-0.4484	-0.7918	5.0033	-8.6178	0.0640	1.4769	0.6948	2731943.3594	0.6841	0.0757	-0.0425	0.5776	9.3925	-2.8072	-0.5195	-0.7797	-0.2442	0.0000	0.0000
2733388.6719	2.5104	-2.1730	-0.4721	-0.5204	9.4905	2.5049	-0.2495	-0.7961	0.3124	2734980.4687	0.0988	-0.8640	-0.3136	-0.0522	9.7921	-0.3064	-0.4635	-0.8223	0.4237	2734980.4687	-0.2100	0.0716	-0.4077	1.6910	5.0458	-8.0434	-0.0161	0.1375	1.3943	2734462.8906	2.0970	0.3074	0.1062	0.8852	9.4499	2.5420	0.0373	-0.4671	-0.8407	2734980.4687	3509014831.4997	3509012096.5193	-0.0245	1.2688	0.5947	0.7152	9.6818	1.9612	0.2286	-0.6064	-0.5537	2734980.4687	-0.2542	0.5248	-0.4484	-0.7918	4.9264	-8.6163	0.0640	1.4769	0.6948	2731953.1250	0.6841	0.0757	-0.0425	0.4988	9.2403	-2.7279	-0.5250	-0.7433	-0.2235	0.0000	0.0000
2733398.4375	3.0537	-0.0766	-0.5404	-0.5204	9.6432	2.5034	-0.2724	-0.8097	0.3102	2734990.2344	0.0988	-0.8640	-0.3136	-0.2114	9.7156	-0.1476	-0.4442	-0.7910	0.4194	2734990.2344	-0.1309	0.2485	-0.0874	1.7689	4.9674	-8.0434	0.0101	0.1146	1.3326	2734472.6562	2.0511	2.3103	-0.4662	0.8859	9.5263	2.6184	0.0353	-0.4671	-0.8431	2734990.2344	3509014831.5095	3509012096.5193	-0.0245	1.2688	0.5947	0.5587	9.6818	1.9612	0.2347	-0.6021	-0.5663	2734990.2344	-0.0971	0.2421	-0.3451	-0.9487	5.1590	-8.5382	0.0780	1.5147	0.7042	2731962.8906	0.3912	-0.1968	-0.4248	0.5792	9.3176	-2.6509	-0.5232	-0.7567	-0.2373	0.0000	0.0000
2733408.2031	3.0537	-0.0766	-0.5404	-0.4422	9.4905	2.3537	-0.2438	-0.8097	0.3037	2735000.0000	0.0988	-0.8640	-0.3136	-0.1318	9.7140	-0.3048	-0.4481	-0.7773	0.4215	2735000.0000	-0.1309	0.2485	-0.0874	1.8467	4.9674	-8.0441	0.0000	0.1167	1.3546	2734482.4219	2.0511	2.3103	-0.4662	0.8062	9.4499	2.3884	0.0353	-0.4671	-0.8431	2735000.0000	3509014831.5193	3509012096.5193	-0.0245	1.2688	0.5947	0.5587	9.6818	1.9612	0.2408	-0.6191	-0.5579	2735000.0000	-0.0971	0.2421	-0.3451	-0.8698	5.0050	-8.5367	0.0680	1.4853	0.7465	2731972.6562	0.3912	-0.1968	-0.4248	0.5784	9.3168	-2.7286	-0.5121	-0.7299	-0.2258	0.0000	0.0000
2733417.9687	3.0537	-0.0766	-0.5404	-0.4415	9.4905	2.4289	-0.2552	-0.7961	0.3145	2735009.7656	-0.0725	0.8118	-0.2162	-0.0522	9.7928	-0.2278	-0.4481	-0.7773	0.4215	2735009.7656	-0.1309	0.2485	-0.0874	1.6910	4.8889	-8.0418	-0.0121	0.1167	1.3811	2734492.1875	2.0511	2.3103	-0.4662	0.8836	9.4499	2.3876	0.0431	-0.4136	-0.8361	2735009.7656	3509014831.5290	3509012096.5193	-0.3583	0.0800	0.7360	0.5587	9.6818	1.9612	0.2408	-0.6191	-0.5579	2735009.7656	-0.0971	0.2421	-0.3451	-0.8682	4.9312	-8.3760	0.0740	1.4979	0.7019	2731982.4219	0.3912	-0.1968	-0.4248	0.5776	9.3925	-2.8072	-0.5139	-0.7337	-0.2350	0.0000	0.0000
2733427.7344	3.0537	-0.0766	-0.5404	-0.4407	9.3377	2.5056	-0.2305	-0.7825	0.3102	2735019.5312	-0.0725	0.8118	-0.2162	-0.0522	9.7921	-0.3064	-0.4558	-0.8398	0.4215	2735019.5312	-0.1309	0.2485	-0.0874	1.6910	4.8905	-7.8881	-0.0121	0.1167	1.3811	2734501.9531	2.4032	0.0109	-0.2051	0.8836	9.4499	2.3876	0.0549	-0.4588	-0.8407	2735019.5312	3509014831.5388	3509012096.5193	-0.3583	0.0800	0.7360	0.6369	9.6810	1.8822	0.2306	-0.5787	-0.5600	2735019.5312	-0.0197	0.2408	-0.4075	-0.8707	5.0804	-8.6178	0.0740	1.4979	0.7019	2731992.1875	0.0113	-0.4995	-0.3944	0.5777	9.3160	-2.8064	-0.5028	-0.7222	-0.2373	0.0000	0.0000
2733437.5000	2.3577	0.1759	-0.8122	-0.5212	9.4905	2.4297	-0.2571	-0.8233	0.3015	2735029.2969	-0.0725	0.8118	-0.2162	-0.0522	9.7132	-0.3835	-0.4500	-0.7930	0.4194	2735029.2969	-0.0012	-0.0604	-0.0462	1.8467	4.9681	-7.9673	0.0101	0.1125	1.3370	2734511.7187	2.4032	0.0109	-0.2051	0.7288	9.5263	2.3884	0.0255	-0.4712	-0.8361	2735029.2969	3509014831.5486	3509012096.5193	-0.3583	0.0800	0.7360	0.7152	9.6795	1.7242	0.2408	-0.5936	-0.5642	2735029.2969	-0.0197	0.2408	-0.4075	-0.9471	5.0852	-8.3775	0.0720	1.5105	0.7042	2732001.9531	0.0113	-0.4995	-0.3944	0.4200	9.3176	-2.6509	-0.5250	-0.7490	-0.2373	0.0000	0.0000
