Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
1669990.2344	3.2681	-1.0146	-0.1378	-1.1625	9.6432	2.0586	-0.3333	-0.8641	0.2408	1671406.2500	0.9701	0.7949	-0.1571	-1.6443	9.2254	-2.3393	-0.1885	-0.7109	0.5441	1671406.2500	0.0475	0.1078	-0.0450	-0.0219	4.4924	-8.4817	0.1932	-0.0354	1.1322	1671230.4687	-2.5103	-2.2376	1.8221	1.0446	9.3735	3.0044	0.1608	-0.4259	-0.7190	1671406.2500	3509013767.9704	3509012096.5641	-1.0773	-0.0351	1.9754	-0.3020	9.5733	-1.1192	0.0061	-0.6830	-0.2589	1671406.2500	-0.1930	0.6324	-0.5715	-0.2433	4.4579	-8.9363	-0.2340	1.4139	0.6831	1669150.3906	-0.4572	0.3633	-0.0878	-0.1077	9.8059	0.2993	-0.4453	-0.6379	-0.4263	0.0000	0.0000
1670000.0000	3.2644	-1.5975	-0.0299	-1.0031	9.5668	2.0577	-0.3448	-0.8621	0.2451	1671416.0156	0.9701	0.7949	-0.1571	-1.4851	9.2238	-2.4965	-0.2000	-0.7656	0.5484	1671416.0156	-0.1644	0.0825	-0.2104	-0.0219	4.4916	-8.5585	0.1972	-0.0333	1.0925	1671240.2344	-2.5103	-2.2376	1.8221	0.9664	9.3735	2.9280	0.1373	-0.4362	-0.7213	1671416.0156	3509013767.9801	3509012096.5641	-1.0773	-0.0351	1.9754	-0.3020	9.6502	-1.1990	0.0184	-0.6362	-0.2674	1671416.0156	-0.1930	0.6324	-0.5715	-0.2425	4.3825	-8.8552	-0.2340	1.4139	0.6831	1669160.1562	-0.4572	0.3633	-0.0878	-0.0273	9.8066	0.3770	-0.4360	-0.6264	-0.4124	0.0000	0.0000
1670009.7656	3.2644	-1.5975	-0.0299	-1.1632	9.5668	1.9841	-0.3314	-0.8350	0.2516	1671425.7812	0.7569	0.1699	-0.3381	-1.4851	9.3034	-2.3409	-0.2000	-0.7656	0.5484	1671425.7812	-0.1644	0.0825	-0.2104	-0.0219	4.6500	-8.4064	0.1992	-0.0104	1.0749	1671250.0000	-2.5103	-2.2376	1.8221	0.8890	9.4499	2.9280	0.1373	-0.4362	-0.7213	1671425.7812	3509013767.9899	3509012096.5641	-1.0773	-0.0351	1.9754	-0.5367	9.5725	-1.1982	0.0184	-0.6362	-0.2674	1671425.7812	-0.1930	0.6324	-0.5715	-0.2433	4.3809	-8.9347	-0.2000	1.4517	0.6690	1669169.9219	-0.6245	0.2119	-0.0811	0.0523	9.7302	0.3778	-0.4230	-0.6533	-0.4240	0.0000	0.0000
1670019.5312	3.2644	-1.5975	-0.0299	-1.1632	9.5668	1.9841	-0.3371	-0.8194	0.2516	1671435.5469	0.7569	0.1699	-0.3381	-1.5647	9.3026	-2.4195	-0.1692	-0.7344	0.5419	1671435.5469	-0.1644	0.0825	-0.2104	-0.0998	4.5716	-8.4049	0.1992	-0.0104	1.0749	1671259.7656	-2.2807	-2.3709	1.7612	0.9672	9.4499	3.0044	0.1373	-0.4259	-0.7143	1671435.5469	3509013767.9997	3509012096.5641	-0.5375	-0.4073	1.0987	-0.6149	9.6494	-1.2780	0.0102	-0.6447	-0.2800	1671435.5469	-0.2877	0.7304	-0.6749	-0.2425	4.3825	-8.8552	-0.2100	1.4265	0.6432	1669179.6875	-0.6245	0.2119	-0.0811	0.0507	9.8051	0.2215	-0.4416	-0.6494	-0.4032	0.0000	0.0000
1670029.2969	3.2644	-1.5975	-0.0299	-1.2422	9.6432	2.0594	-0.3352	-0.8350	0.2386	1671445.3125	0.7569	0.1699	-0.3381	-1.6443	9.3050	-2.1836	-0.1904	-0.7070	0.5376	1671445.3125	0.0493	0.2010	-0.1049	0.0560	4.5716	-8.4064	0.1851	-0.0417	1.1211	1671269.5312	-2.2807	-2.3709	1.7612	1.0415	9.5263	2.6941	0.1431	-0.4486	-0.7143	1671445.3125	3509013768.0094	3509012096.5641	-0.5375	-0.4073	1.0987	-0.6149	9.4939	-1.2764	0.0245	-0.6489	-0.2779	1671445.3125	-0.2877	0.7304	-0.6749	-0.2425	4.4594	-8.8567	-0.2100	1.4265	0.6432	1669189.4531	-0.6245	0.2119	-0.0811	-0.0265	9.6545	0.4563	-0.4416	-0.6456	-0.4217	0.0000	0.0000
1670039.0625	2.8684	-2.1919	-0.2793	-1.0828	9.5668	2.0585	-0.3543	-0.8485	0.2343	1671455.0781	0.6168	0.3261	-0.1965	-1.6443	9.3034	-2.3409	-0.1904	-0.7070	0.5376	1671455.0781	0.0493	0.2010	-0.1049	-0.0998	4.6492	-8.4825	0.2093	-0.0187	1.1013	1671279.2969	-2.2807	-2.3709	1.7612	0.9656	9.3735	2.8508	0.1431	-0.4486	-0.7143	1671455.0781	3509013768.0192	3509012096.5641	-0.5375	-0.4073	1.0987	-0.5367	9.6486	-1.3570	0.0245	-0.6489	-0.2779	1671455.0781	-0.2877	0.7304	-0.6749	-0.2433	4.3039	-8.9332	-0.1980	1.4538	0.6878	1669199.2187	-0.9706	-0.8173	0.2964	0.0531	9.6545	0.4563	-0.4508	-0.6188	-0.4078	0.0000	0.0000
1670048.8281	2.8684	-2.1919	-0.2793	-1.1610	9.5668	2.2097	-0.3295	-0.8175	0.2451	1671464.8437	0.6168	0.3261	-0.1965	-1.5647	9.3042	-2.2623	-0.1942	-0.7637	0.5527	1671464.8437	0.0493	0.2010	-0.1049	-0.0219	4.5700	-8.5593	0.2093	-0.0021	1.0881	1671289.0625	-1.5307	-2.2048	2.5419	1.0438	9.2971	2.9280	0.1490	-0.4156	-0.7213	1671464.8437	3509013768.0289	3509012096.5641	-0.2536	1.9741	0.5405	-0.5367	9.6486	-1.3570	-0.0061	-0.6511	-0.2800	1671464.8437	-0.3492	0.6086	-0.5816	-0.3221	4.3809	-8.9332	-0.2080	1.4517	0.6690	1669208.9844	-0.9706	-0.8173	0.2964	-0.0265	9.7310	0.4555	-0.4304	-0.6130	-0.4147	0.0000	0.0000
