Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3584658.2031	3.2872	1.3019	-1.8797	-1.3819	8.8031	4.0245	-0.5410	-0.8913	-0.0434	3586250.0000	0.4506	-1.5615	1.5112	0.1070	9.7928	-0.2278	-0.4519	-0.8203	0.4667	3585771.4844	0.3439	0.5863	-0.3473	0.3674	5.9939	-7.3481	0.0785	0.0500	1.3062	3585732.4219	1.6225	5.2476	0.4740	1.5050	9.3735	2.6138	-0.0412	-0.4074	-0.8735	3585830.0781	3509015682.3219	3509012096.4919	-0.2525	-0.1350	0.6572	0.0892	9.6064	2.1990	0.4816	-0.5809	-0.4400	3586035.1562	-0.1124	0.3177	-0.3154	0.7194	6.8020	-7.2512	-0.0620	1.3508	0.6901	3583222.6562	1.1927	-7.8704	-0.8963	1.0716	9.7146	-1.1773	-0.6252	-0.6418	-0.2972	0.0000	0.0000
3584667.9687	3.2872	1.3019	-1.8797	-1.3834	8.9558	3.8726	-0.5371	-0.8583	-0.0174	3586259.7656	0.4506	-1.5615	1.5112	0.0274	9.7921	-0.3064	-0.4519	-0.8203	0.4667	3585781.2500	-0.0255	0.2360	-0.2863	0.4453	6.0708	-7.5033	0.0785	0.0500	1.3062	3585742.1875	1.6225	5.2476	0.4740	1.5057	9.3735	2.6910	-0.0667	-0.4259	-0.8852	3585839.8437	3509015682.3317	3509012096.4919	-0.2525	-0.1350	0.6572	0.0892	9.2970	2.3601	0.4816	-0.5809	-0.4400	3586044.9219	0.0247	0.3223	-0.6501	0.5610	6.7235	-7.3260	-0.0680	1.3571	0.7300	3583232.4219	-0.0729	-4.1471	1.8365	1.2308	9.7146	-1.1773	-0.6215	-0.6054	-0.2673	0.0000	0.0000
3584677.7344	3.2872	1.3019	-1.8797	-1.3819	8.9558	4.0230	-0.5257	-0.8893	-0.0412	3586269.5312	0.8475	-0.8603	1.4761	0.0274	9.7140	-0.3048	-0.4558	-0.7910	0.4645	3585791.0156	-0.0255	0.2360	-0.2863	0.4453	6.0700	-7.5802	0.0986	0.0354	1.2511	3585751.9531	1.5307	2.2498	0.5258	1.5050	9.5263	2.6122	-0.0510	-0.3951	-0.8806	3585849.6094	3509015682.3415	3509012096.4919	-0.1005	0.1386	0.6140	0.0892	9.5303	2.3578	0.4714	-0.5426	-0.4400	3586054.6875	0.0247	0.3223	-0.6501	0.5610	6.8005	-7.3276	-0.0700	1.3676	0.6948	3583242.1875	-0.0729	-4.1471	1.8365	0.9920	9.5617	-1.1758	-0.6271	-0.6322	-0.2926	0.0000	0.0000
3584687.5000	4.4844	0.9984	-1.9428	-1.3030	8.9558	3.9470	-0.5200	-0.8621	-0.0174	3586279.2969	0.8475	-0.8603	1.4761	0.0274	9.7140	-0.3048	-0.4558	-0.8516	0.4753	3585800.7812	-0.0255	0.2360	-0.2863	0.4453	6.1508	-7.3505	0.0966	0.0396	1.2797	3585761.7187	1.5307	2.2498	0.5258	1.5034	9.3735	2.4594	-0.0510	-0.3951	-0.8806	3585859.3750	3509015682.3512	3509012096.4919	-0.1005	0.1386	0.6140	0.1675	9.6080	2.3570	0.4816	-0.5532	-0.4421	3586064.4531	0.0247	0.3223	-0.6501	0.5610	6.8005	-7.3276	-0.0700	1.3676	0.6948	3583251.9531	-0.0729	-4.1471	1.8365	1.0723	9.7154	-1.0996	-0.6085	-0.6130	-0.2857	0.0000	0.0000
3584697.2656	4.4844	0.9984	-1.9428	-1.3827	8.9558	3.9478	-0.5219	-0.8893	-0.0347	3586289.0625	0.8475	-0.8603	1.4761	0.0274	9.7921	-0.3064	-0.4538	-0.8633	0.4667	3585810.5469	0.1116	0.2969	-0.3326	0.5231	5.9931	-7.4265	0.0905	0.0354	1.2907	3585771.4844	1.5307	2.2498	0.5258	1.4260	9.4499	2.4594	-0.0471	-0.4033	-0.8829	3585869.1406	3509015682.3610	3509012096.4919	-0.1005	0.1386	0.6140	0.2457	9.6072	2.2780	0.4776	-0.5617	-0.4358	3586074.2187	0.3386	0.3198	-0.4792	0.5609	6.8775	-7.3291	-0.0680	1.3803	0.7019	3583261.7187	-0.0729	-4.1471	1.8365	0.9912	9.6374	-1.2543	-0.6234	-0.6533	-0.2926	0.0000	0.0000
3584707.0312	4.4844	0.9984	-1.9428	-1.4631	8.8795	3.8741	-0.5314	-0.8854	-0.0347	3586298.8281	0.4813	-0.0431	1.4348	0.0274	9.7921	-0.3064	-0.4538	-0.8633	0.4667	3585820.3125	0.1116	0.2969	-0.3326	0.4453	6.0708	-7.5033	0.0905	0.0354	1.2907	3585781.2500	0.6582	0.9536	0.6415	1.5823	9.4499	2.6122	-0.0647	-0.4074	-0.8923	3585878.9062	3509015682.3708	3509012096.4919	-0.4002	0.0499	1.1186	0.1675	9.4517	2.2796	0.4776	-0.5617	-0.4358	3586083.9844	0.3386	0.3198	-0.4792	0.5610	6.8005	-7.3276	-0.0880	1.3824	0.7347	3583271.4844	0.6404	0.7870	4.7175	0.9100	9.6358	-1.4098	-0.6215	-0.6609	-0.2834	0.0000	0.0000
3584716.7969	2.9838	1.8572	-1.1552	-1.4624	8.8031	3.9501	-0.5429	-0.8738	-0.0347	3586308.5937	0.4813	-0.0431	1.4348	0.1070	9.7928	-0.2278	-0.4519	-0.8047	0.4688	3585830.0781	0.1116	0.2969	-0.3326	0.4453	6.0716	-7.4265	0.1066	0.0521	1.2445	3585791.0156	0.6582	0.9536	0.6415	1.5034	9.3735	2.4594	-0.0627	-0.4218	-0.8759	3585888.6719	3509015682.3805	3509012096.4919	-0.4002	0.0499	1.1186	0.2457	9.6064	2.1990	0.4653	-0.5638	-0.4421	3586093.7500	0.3386	0.3198	-0.4792	0.6398	6.7235	-7.3276	-0.0720	1.3908	0.6854	3583281.2500	0.6404	0.7870	4.7175	1.0692	9.5594	-1.4091	-0.6197	-0.6398	-0.2949	0.0000	0.0000
