Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
114931.6406	4.3914	-5.2756	2.7055	-2.8081	8.5740	4.8683	0.4057	-0.7029	-0.5510	114931.6406	-5.3361	11.7176	-2.5316	0.8234	9.7968	0.1652	0.3173	-0.9922	-0.1312	114931.6406	-2.1059	-1.1146	0.8005	-0.7226	4.0973	-8.7780	0.0443	-0.5958	0.5639	114931.6406	3.3981	11.1458	-3.4344	0.6483	9.8317	2.0773	-0.5569	-0.8642	-0.1194	114931.6406	3509012211.5549	3509012096.6232	2.8431	1.8514	0.9069	1.3411	9.6637	0.1441	-0.4163	-0.7787	0.2274	114931.6406	-0.4579	0.2165	-0.5294	0.0804	5.7840	-8.0937	-0.9400	1.0735	0.3263	114931.6406	24.6473	-7.8856	-5.6078	1.8900	11.4957	1.0600	0.1688	-0.8755	0.3111	0.0000	0.0000
114941.4062	4.3914	-5.2756	2.7055	-2.9645	8.5740	5.1707	0.4095	-0.6990	-0.5466	114941.4062	-5.3361	11.7176	-2.5316	0.7438	9.7976	0.2439	0.3269	-0.9512	-0.1290	114941.4062	-2.1059	-1.1146	0.8005	-0.8783	4.0189	-8.7757	0.0463	-0.5917	0.5771	114941.4062	3.3981	11.1458	-3.4344	0.6499	9.6026	2.2340	-0.5588	-0.8704	-0.1311	114941.4062	3509012211.5646	3509012096.6232	2.8431	1.8514	0.9069	1.2628	9.6660	0.3811	-0.4245	-0.7723	0.2316	114941.4062	0.5861	-1.1126	0.8651	0.0032	5.7872	-7.9330	-0.9400	1.0945	0.3404	114941.4062	24.6473	-7.8856	-5.6078	1.3304	11.4169	0.8275	0.1503	-0.8736	0.3157	0.0000	0.0000
114951.1719	-0.7186	10.9461	-5.2022	-2.9637	8.4212	5.2474	0.4095	-0.6990	-0.5510	114951.1719	-5.3361	11.7176	-2.5316	0.5846	9.6407	0.1684	0.2904	-0.9609	-0.1355	114951.1719	-1.7807	-0.7069	0.1932	-0.6448	4.0188	-8.7780	0.0443	-0.6292	0.5881	114951.1719	4.8370	6.4178	-2.8661	0.7281	9.6026	2.3104	-0.5392	-0.8663	-0.1405	114951.1719	3509012211.5744	3509012096.6232	2.8431	1.8514	0.9069	1.3411	9.7454	0.5383	-0.4245	-0.7723	0.2316	114951.1719	0.5861	-1.1126	0.8651	-0.0748	5.7888	-7.8518	-0.9560	1.0672	0.3169	114951.1719	24.6473	-7.8856	-5.6078	0.6048	10.3372	-0.0949	0.1466	-0.8755	0.3295	0.0000	0.0000
114960.9375	-0.7186	10.9461	-5.2022	-2.4104	8.7267	4.7876	0.4076	-0.7068	-0.5445	114960.9375	-4.1376	3.5867	-2.7696	0.4254	9.6407	0.1684	0.2904	-0.9609	-0.1355	114960.9375	-1.7807	-0.7069	0.1932	-0.6448	4.0188	-8.7780	0.0483	-0.6208	0.5705	114960.9375	4.8370	6.4178	-2.8661	0.9602	9.6026	2.3081	-0.5392	-0.8663	-0.1405	114960.9375	3509012211.5842	3509012096.6232	2.8992	2.8749	1.9433	1.4193	9.6676	0.5391	-0.4204	-0.7702	0.2211	114960.9375	0.5861	-1.1126	0.8651	0.0820	5.7872	-7.9345	-0.9560	1.0672	0.3169	114960.9375	-72.6140	5.2217	9.6632	0.1928	9.6351	-1.4876	0.1577	-0.8429	0.3410	0.0000	0.0000
114970.7031	-0.7186	10.9461	-5.2022	-2.5765	8.1921	4.1178	0.4019	-0.7495	-0.5423	114970.7031	-4.1376	3.5867	-2.7696	0.5050	9.7195	0.2454	0.3154	-0.9844	-0.1333	114970.7031	-1.7807	-0.7069	0.1932	-0.7226	4.0188	-8.7773	0.0483	-0.6208	0.5705	114970.7031	4.8370	6.4178	-2.8661	0.8078	9.4499	2.5428	-0.5706	-0.8416	-0.1358	114970.7031	3509012211.5939	3509012096.6232	2.8992	2.8749	1.9433	1.4193	9.7454	0.5383	-0.4286	-0.7681	0.2316	114970.7031	0.8986	-0.7463	0.8971	0.0812	5.8626	-8.0156	-0.9460	1.1008	0.3263	114970.7031	-72.6140	5.2217	9.6632	-0.1302	9.0188	-1.9480	0.1633	-0.8831	0.3548	0.0000	0.0000
114980.4687	-2.5549	13.2658	-8.0705	-2.6600	8.1158	3.7433	0.4057	-0.7243	-0.5315	114980.4687	-4.1376	3.5867	-2.7696	0.5846	9.7203	0.3240	0.3231	-0.9512	-0.1290	114980.4687	-2.1779	-0.1851	-0.3906	-0.7226	4.1757	-8.7788	0.0423	-0.6208	0.5639	114980.4687	4.8370	6.4178	-2.8661	0.6530	9.3735	2.5451	-0.5588	-0.8601	-0.1358	114980.4687	3509012211.6037	3509012096.6232	2.8992	2.8749	1.9433	1.4976	9.5914	0.6979	-0.4184	-0.7426	0.2337	114980.4687	0.8986	-0.7463	0.8971	0.0812	5.8626	-8.0156	-0.9520	1.0609	0.3427	114980.4687	-72.6140	5.2217	9.6632	-0.1989	9.3355	-0.8625	0.1540	-0.8640	0.3479	0.0000	0.0000
114990.2344	-2.5549	13.2658	-8.0705	-2.4187	9.0322	3.9574	0.3981	-0.7087	-0.5358	114990.2344	-4.4381	-0.9802	-3.1838	0.5050	9.7983	0.3225	0.3231	-0.9512	-0.1290	114990.2344	-2.1779	-0.1851	-0.3906	-0.8005	4.0973	-8.7773	0.0523	-0.6104	0.5793	114990.2344	4.8829	-3.8359	-1.9642	0.7312	9.4499	2.6207	-0.5588	-0.8601	-0.1358	114990.2344	3509012211.6135	3509012096.6232	2.7507	-3.2982	2.3257	1.4976	9.6676	0.5391	-0.4184	-0.7426	0.2337	114990.2344	0.8986	-0.7463	0.8971	0.0024	5.7856	-8.0125	-0.9540	1.0819	0.3122	114990.2344	-72.6140	5.2217	9.6632	0.1249	9.5703	-0.3205	0.1521	-0.8736	0.3479	0.0000	0.0000
