Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2750498.0469	-3.6582	8.7202	-7.0494	-1.3256	9.5668	1.6849	0.3143	-0.8039	-0.5098	2752089.8437	0.4750	1.9434	-0.3119	-0.2910	9.8654	-0.7796	0.3827	-0.9629	-0.0989	2752089.8437	-0.0548	1.0358	-0.3844	1.6910	4.9666	-8.1194	-0.3159	-0.5958	0.4868	2751572.2656	0.5970	-2.2037	-3.0031	0.2684	9.6026	2.7782	-0.5078	-0.9239	-0.1335	2752089.8437	3509014848.6101	3509012096.5203	0.5497	1.1866	3.1670	0.5587	9.7556	1.5654	-0.3510	-0.8766	0.0758	2752089.8437	0.0627	0.4220	0.0240	-0.7927	5.0787	-8.6989	-0.7980	1.0336	0.3944	2749062.5000	-0.0234	2.4368	0.6980	1.6936	9.2411	-2.6501	0.0000	-0.7280	0.5599	0.0000	0.0000
2750507.8125	-3.6582	8.7202	-7.0494	-1.1670	9.5668	1.6081	0.3048	-0.8175	-0.5098	2752099.6094	0.4750	1.9434	-0.3119	-0.2910	9.7101	-0.6979	0.3808	-1.0156	-0.1011	2752099.6094	-0.0548	1.0358	-0.3844	1.7689	4.9674	-8.0434	-0.3179	-0.5917	0.4890	2751582.0312	0.5970	-2.2037	-3.0031	0.2669	9.4499	2.6254	-0.5157	-0.8930	-0.1311	2752099.6094	3509014848.6199	3509012096.5203	0.5497	1.1866	3.1670	0.5587	9.7556	1.5654	-0.3510	-0.8766	0.0758	2752099.6094	0.0627	0.4220	0.0240	-0.7115	5.0835	-8.4618	-0.7840	1.0714	0.4014	2749072.2656	-0.0234	2.4368	0.6980	1.6952	9.0898	-2.4931	-0.0093	-0.7567	0.5346	0.0000	0.0000
2750517.5781	-3.6582	8.7202	-7.0494	-1.0061	9.7196	1.7554	0.3162	-0.8117	-0.5141	2752109.3750	0.4750	1.9434	-0.3119	-0.3706	9.6336	-0.5391	0.3808	-1.0156	-0.1011	2752109.3750	-0.0548	1.0358	-0.3844	1.6910	4.9666	-8.1194	-0.3179	-0.5917	0.4890	2751591.7969	0.7500	-4.5606	-1.7234	0.1895	9.6026	2.6246	-0.5098	-0.8704	-0.1265	2752109.3750	3509014848.6296	3509012096.5203	0.5497	1.1866	3.1670	0.4804	9.6795	1.7242	-0.3653	-0.8872	0.0674	2752109.3750	0.0627	0.4220	0.0240	-0.7911	5.1589	-8.5413	-0.7960	1.0504	0.4014	2749082.0312	-0.9803	2.6638	0.8424	1.6952	9.2427	-2.4946	-0.0148	-0.7567	0.5576	0.0000	0.0000
2750527.3437	-1.2876	9.1875	-6.5900	-0.9272	9.8723	1.6779	0.2952	-0.8485	-0.5098	2752119.1406	0.0026	0.5111	-0.7802	-0.1318	9.7125	-0.4621	0.3673	-0.9980	-0.1032	2752119.1406	-0.0548	1.0358	-0.3844	1.7689	4.8882	-8.1194	-0.2998	-0.6021	0.4714	2751601.5625	0.7500	-4.5606	-1.7234	0.2676	9.6026	2.7011	-0.5098	-0.8704	-0.1265	2752119.1406	3509014848.6394	3509012096.5203	0.9515	-2.5007	3.7275	0.4022	9.6009	1.6460	-0.3388	-0.8745	0.0632	2752119.1406	0.0627	0.4220	0.0240	-0.7903	5.1605	-8.4618	-0.8040	1.0063	0.3826	2749091.7969	-0.9803	2.6638	0.8424	1.6952	9.3956	-2.4961	0.0037	-0.7548	0.5415	0.0000	0.0000
2750537.1094	-1.2876	9.1875	-6.5900	-0.9272	9.7196	1.6794	0.2990	-0.8466	-0.5054	2752128.9062	0.0026	0.5111	-0.7802	-0.2910	9.7897	-0.5422	0.3788	-0.9609	-0.0989	2752128.9062	-0.4000	0.3829	-0.5395	1.8467	4.9674	-8.0441	-0.3038	-0.6104	0.4824	2751611.3281	0.7500	-4.5606	-1.7234	0.2653	9.6026	2.4695	-0.5039	-0.8765	-0.1311	2752128.9062	3509014848.6492	3509012096.5203	0.9515	-2.5007	3.7275	0.1675	9.7556	1.5654	-0.3510	-0.8468	0.0758	2752128.9062	0.0019	0.3435	0.1918	-0.7123	5.0819	-8.5414	-0.8040	1.0063	0.3826	2749101.5625	-0.9803	2.6638	0.8424	1.6140	9.2411	-2.6501	-0.0074	-0.7146	0.5714	0.0000	0.0000
2750546.8750	-1.2876	9.1875	-6.5900	-0.5272	9.5668	1.8273	0.2857	-0.8524	-0.5033	2752138.6719	0.0026	0.5111	-0.7802	-0.2114	9.7889	-0.6208	0.3692	-1.0039	-0.1011	2752138.6719	-0.4000	0.3829	-0.5395	1.6910	4.8889	-8.0418	-0.3038	-0.6104	0.4824	2751621.0937	0.7500	-3.5480	-1.5912	0.3419	9.5263	2.3923	-0.5196	-0.8971	-0.1311	2752138.6719	3509014848.6589	3509012096.5203	0.9515	-2.5007	3.7275	0.1675	9.6771	1.4872	-0.3510	-0.8468	0.0758	2752138.6719	0.0019	0.3435	0.1918	-0.7131	5.1573	-8.6225	-0.7900	1.0672	0.4061	2749111.3281	-2.9473	4.0563	0.3755	1.6148	9.2419	-2.5724	0.0019	-0.7241	0.5438	0.0000	0.0000
2750556.6406	-2.6706	9.8303	-6.7461	-0.4490	9.7196	1.6746	0.3067	-0.8369	-0.5098	2752148.4375	0.3874	0.4925	-1.1997	-0.1318	9.7117	-0.5407	0.3692	-1.0039	-0.1011	2752148.4375	-0.4000	0.3829	-0.5395	1.6910	5.0450	-8.1202	-0.2998	-0.5896	0.4934	2751630.8594	0.7500	-3.5480	-1.5912	0.2653	9.6026	2.4695	-0.5196	-0.8971	-0.1311	2752148.4375	3509014848.6687	3509012096.5203	0.4934	-0.4482	3.6255	0.2457	9.7572	1.7234	-0.3531	-0.8468	0.0716	2752148.4375	0.0019	0.3435	0.1918	-0.7123	5.1589	-8.5429	-0.7820	1.0399	0.3991	2749121.0937	-2.9473	4.0563	0.3755	1.4556	9.2419	-2.5724	0.0037	-0.7280	0.5599	0.0000	0.0000
