Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
1609853.5156	3.1238	-2.1945	0.1702	-0.3693	9.5668	1.6754	0.2019	-0.8854	-0.4642	1611269.5312	0.0020	0.5579	-0.7948	-1.4055	9.4595	-2.3440	0.4231	-0.9434	0.0323	1611269.5312	-0.0148	0.0167	-0.0605	-0.2555	4.4132	-8.5554	-0.0523	-0.5625	0.5485	1611093.7500	0.0918	0.9430	1.1332	0.9625	9.4499	2.5412	-0.5745	-0.8292	-0.1429	1611269.5312	3509013707.8377	3509012096.5682	0.0903	-1.2847	1.4116	-0.2237	9.7327	-0.7257	-0.1898	-0.8426	0.3916	1611269.5312	0.0265	0.2712	-0.4693	-0.2432	4.1499	-8.9301	-0.7880	1.0756	0.4202	1609013.6719	-0.3076	-1.1654	-0.3362	0.2138	9.8090	0.6103	0.1373	-0.8506	0.2857	0.0000	0.0000
1609863.2812	2.6532	-4.0769	-0.0850	-0.3686	9.6432	1.7498	0.1962	-0.8893	-0.4664	1611279.2969	-0.0707	0.3982	-0.4469	-1.5647	9.3018	-2.4981	0.4615	-0.9160	0.0258	1611279.2969	-0.0325	-0.1169	-0.2745	-0.0998	4.4132	-8.5569	-0.0584	-0.5917	0.5595	1611103.5156	-0.4286	1.5297	0.9566	0.8859	9.5263	2.6184	-0.5745	-0.8292	-0.1429	1611279.2969	3509013707.8475	3509012096.5682	0.0903	-1.2847	1.4116	-0.2237	9.6558	-0.6459	-0.2061	-0.8319	0.4063	1611279.2969	0.0265	0.2712	-0.4693	-0.2441	4.3793	-9.0143	-0.7880	1.0756	0.4202	1609023.4375	-0.2558	-1.7254	0.2830	0.0546	9.8090	0.6103	0.1336	-0.8467	0.2995	0.0000	0.0000
1609873.0469	2.6532	-4.0769	-0.0850	-0.5279	9.5668	1.7521	0.2076	-0.8951	-0.4751	1611289.0625	-0.0707	0.3982	-0.4469	-1.5647	9.3018	-2.4981	0.4404	-0.8965	0.0344	1611289.0625	-0.0325	-0.1169	-0.2745	-0.0219	4.3348	-8.5569	-0.0584	-0.5917	0.5595	1611113.2812	-0.4286	1.5297	0.9566	1.0415	9.3735	2.6956	-0.5667	-0.8066	-0.1335	1611289.0625	3509013707.8573	3509012096.5682	0.0903	-1.2847	1.4116	-0.3020	9.6542	-0.8039	-0.2061	-0.8319	0.4063	1611289.0625	0.0265	0.2712	-0.4693	-0.1645	4.2269	-8.9332	-0.8120	1.0483	0.4249	1609033.2031	-0.2558	-1.7254	0.2830	0.2138	9.7325	0.6111	0.1391	-0.8544	0.2719	0.0000	0.0000
1609882.8125	2.6532	-4.0769	-0.0850	-0.4490	9.6432	1.6754	0.2114	-0.8913	-0.4729	1611298.8281	-0.0707	0.3982	-0.4469	-1.4851	9.3011	-2.5767	0.4269	-0.9355	0.0387	1611298.8281	-0.0325	-0.1169	-0.2745	-0.0219	4.3340	-8.6338	-0.0523	-0.5646	0.5463	1611123.0469	-0.4286	1.5297	0.9566	0.9641	9.5263	2.6949	-0.5804	-0.8045	-0.1382	1611298.8281	3509013707.8670	3509012096.5682	0.1843	-1.5149	1.6696	-0.2237	9.6542	-0.8039	-0.1816	-0.8234	0.4021	1611298.8281	-0.0032	0.3590	-0.3190	-0.1637	4.2285	-8.8537	-0.7900	1.0630	0.4108	1609042.9687	-0.2558	-1.7254	0.2830	0.1334	9.8082	0.5325	0.1466	-0.8582	0.2926	0.0000	0.0000
1609892.5781	3.1438	-3.7903	-0.3395	-0.6076	9.6432	1.7522	0.2114	-0.8874	-0.4794	1611308.5937	0.1041	1.4487	-0.5776	-1.4055	9.3011	-2.5767	0.4269	-0.9355	0.0387	1611308.5937	-0.0754	0.0047	-0.1969	-0.0998	4.4132	-8.5569	-0.0523	-0.5604	0.5529	1611132.8125	-0.5051	2.9332	-0.2456	0.9649	9.3735	2.7736	-0.5843	-0.8313	-0.1429	1611308.5937	3509013707.8768	3509012096.5682	0.1843	-1.5149	1.6696	-0.2237	9.7327	-0.7257	-0.1776	-0.8191	0.4000	1611308.5937	-0.0032	0.3590	-0.3190	-0.3221	4.2269	-8.9301	-0.7880	1.0882	0.4343	1609052.7344	0.7663	-2.5125	0.5755	0.0554	9.8097	0.6881	0.1336	-0.8889	0.2742	0.0000	0.0000
1609902.3437	3.1438	-3.7903	-0.3395	-0.6084	9.4905	1.6785	0.2057	-0.9010	-0.4837	1611318.3594	0.1041	1.4487	-0.5776	-1.4055	9.1434	-2.7308	0.4596	-0.9023	0.0301	1611318.3594	-0.0754	0.0047	-0.1969	-0.0998	4.3348	-8.5562	-0.0523	-0.5604	0.5529	1611142.5781	-0.5051	2.9332	-0.2456	1.0422	9.3735	2.7728	-0.5843	-0.8313	-0.1429	1611318.3594	3509013707.8866	3509012096.5682	0.1843	-1.5149	1.6696	-0.3802	9.5772	-0.7242	-0.1776	-0.8191	0.4000	1611318.3594	-0.0032	0.3590	-0.3190	-0.1652	4.1483	-9.0113	-0.7880	1.0882	0.4343	1609062.5000	0.7663	-2.5125	0.5755	0.2934	9.8090	0.6103	0.1336	-0.8851	0.2880	0.0000	0.0000
1609912.1094	3.1438	-3.7903	-0.3395	-0.6873	9.6432	1.7530	0.2057	-0.8854	-0.4642	1611328.1250	0.1041	1.4487	-0.5776	-1.2463	9.2215	-2.7323	0.4404	-0.9004	0.0344	1611328.1250	-0.0754	0.0047	-0.1969	-0.1776	4.4124	-8.6330	-0.0543	-0.5854	0.5661	1611152.3437	-0.5051	2.9332	-0.2456	1.1188	9.4499	2.6941	-0.5588	-0.8230	-0.1522	1611328.1250	3509013707.8963	3509012096.5682	0.2568	-1.9283	1.2979	-0.3020	9.6542	-0.8039	-0.2143	-0.8106	0.3958	1611328.1250	-0.0348	0.1033	-0.3606	-0.1645	4.2269	-8.9332	-0.7980	1.0483	0.4155	1609072.2656	0.7663	-2.5125	0.5755	0.2934	9.8090	0.6103	0.1169	-0.8908	0.2765	0.0000	0.0000
