Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3640312.5000	4.8637	-11.4632	4.0012	-0.8226	8.8031	4.1693	0.3410	-0.8117	-0.5575	3641904.2969	-1.1965	2.0834	0.6155	-0.6095	9.7913	-0.3850	0.3885	-0.9609	-0.1419	3641425.7812	-0.2553	0.0690	-0.2552	0.3674	6.0700	-7.5794	-0.0885	-0.6875	0.3965	3641386.7187	1.1939	5.1044	-0.7683	1.2752	9.2971	2.8484	-0.5784	-0.8704	-0.0820	3641484.3750	3509015737.9667	3509012096.4823	0.0168	-0.1683	1.6831	0.2457	9.5318	2.5158	-0.4204	-0.8681	-0.0758	3641689.4531	-0.5452	-0.6043	0.1126	0.3238	6.6450	-7.3993	-0.9260	0.9202	0.1784	3638876.9531	7.3720	0.4843	-3.5984	1.0708	9.6374	-1.2543	0.0891	-0.8142	0.4240	0.0000	0.0000
3640322.2656	4.8637	-11.4632	4.0012	-0.9023	8.8795	4.1693	0.3352	-0.8175	-0.5553	3641914.0625	-1.1965	2.0834	0.6155	-0.6095	9.7125	-0.4621	0.3885	-0.9609	-0.1419	3641435.5469	0.3387	0.3248	-0.3042	0.4453	5.9916	-7.5794	-0.0865	-0.7104	0.3855	3641396.4844	1.1939	5.1044	-0.7683	1.2752	9.2208	2.8492	-0.5961	-0.8642	-0.0820	3641494.1406	3509015737.9764	3509012096.4823	0.0168	-0.1683	1.6831	0.3240	9.6866	2.4352	-0.4082	-0.8638	-0.0800	3641699.2187	-0.5452	-0.6043	0.1126	0.2434	6.7959	-7.5599	-0.9180	0.9412	0.1714	3638886.7187	7.3720	0.4843	-3.5984	0.9124	9.7146	-1.1773	0.0742	-0.8238	0.4194	0.0000	0.0000
3640332.0312	4.8637	-11.4632	4.0012	-0.9030	8.8795	4.0941	0.3505	-0.8058	-0.5553	3641923.8281	-1.1965	2.0834	0.6155	-0.6095	9.6352	-0.3819	0.3635	-0.9512	-0.1355	3641445.3125	0.3387	0.3248	-0.3042	0.2895	5.9924	-7.5010	-0.0966	-0.7083	0.3722	3641406.2500	1.1939	5.1044	-0.7683	1.1978	9.3735	2.8484	-0.5961	-0.8642	-0.0820	3641503.9062	3509015737.9862	3509012096.4823	0.0168	-0.1683	1.6831	0.2457	9.6104	2.5940	-0.4082	-0.8638	-0.0800	3641708.9844	-0.4015	-0.7865	0.4256	0.1654	6.6435	-7.4757	-0.9160	0.9433	0.1831	3638896.4844	7.3720	0.4843	-3.5984	0.9920	9.6382	-1.1766	0.0761	-0.8084	0.4286	0.0000	0.0000
3640341.7969	3.6206	-13.6293	6.0822	-1.1406	8.8795	4.2469	0.3371	-0.7903	-0.5510	3641933.5937	-0.3475	3.6499	0.0016	-0.4502	9.7125	-0.4621	0.3942	-0.9434	-0.1355	3641455.0781	0.3387	0.3248	-0.3042	0.2117	5.9924	-7.5002	-0.0946	-0.6917	0.3965	3641416.0156	0.3368	0.3424	-0.6119	1.3525	9.2971	2.8477	-0.5706	-0.8333	-0.0773	3641513.6719	3509015737.9960	3509012096.4823	-0.6211	-1.8584	1.8806	0.1675	9.6104	2.5940	-0.4347	-0.8617	-0.0779	3641718.7500	-0.4015	-0.7865	0.4256	0.1654	6.5665	-7.4742	-0.9300	0.9223	0.1643	3638906.2500	7.3720	0.4843	-3.5984	0.9116	9.6374	-1.2543	0.0779	-0.8180	0.4124	0.0000	0.0000
3640351.5625	3.6206	-13.6293	6.0822	-0.9827	8.8795	4.0949	0.3581	-0.7806	-0.5466	3641943.3594	-0.3475	3.6499	0.0016	-0.3706	9.7117	-0.5407	0.3904	-0.9355	-0.1376	3641464.8437	0.3387	0.3248	-0.3042	0.3674	6.0716	-7.4257	-0.0946	-0.6917	0.3965	3641425.7812	0.3368	0.3424	-0.6119	1.2759	9.3735	2.9249	-0.5784	-0.8807	-0.0913	3641523.4375	3509015738.0057	3509012096.4823	-0.6211	-1.8584	1.8806	0.1675	9.6096	2.5150	-0.4122	-0.8468	-0.0737	3641728.5156	-0.4015	-0.7865	0.4256	0.1670	6.6467	-7.3166	-0.9300	0.9223	0.1643	3638916.0156	7.7086	6.1904	-1.8843	0.9131	9.6390	-1.0988	0.0816	-0.8218	0.4240	0.0000	0.0000
3640361.3281	3.6206	-13.6293	6.0822	-1.3007	8.9558	4.1726	0.3486	-0.7845	-0.5466	3641953.1250	-0.3475	3.6499	0.0016	-0.2910	9.7101	-0.6979	0.3904	-0.9355	-0.1376	3641474.6094	-0.0941	0.5786	-0.5102	0.2895	5.9932	-7.4242	-0.0926	-0.7354	0.3811	3641435.5469	0.3368	0.3424	-0.6119	1.3518	9.2971	2.7705	-0.5980	-0.8539	-0.0726	3641533.2031	3509015738.0155	3509012096.4823	-0.6211	-1.8584	1.8806	0.0892	9.6088	2.4360	-0.4122	-0.8468	-0.0737	3641738.2812	0.1257	0.2355	0.0840	0.1662	6.7221	-7.3977	-0.9140	0.9244	0.1667	3638925.7812	7.7086	6.1904	-1.8843	0.9131	9.6390	-1.0988	0.0761	-0.8563	0.4055	0.0000	0.0000
3640371.0937	3.6206	-13.6293	6.0822	-1.1413	8.7267	4.1733	0.3505	-0.7806	-0.5531	3641962.8906	-0.2834	0.2734	-0.0794	-0.2910	9.7125	-0.4621	0.3731	-0.9629	-0.1312	3641484.3750	-0.0941	0.5786	-0.5102	0.3674	6.0693	-7.6562	-0.0926	-0.7250	0.3744	3641445.3125	0.9643	2.2741	-0.9660	1.3510	9.3735	2.6925	-0.5980	-0.8539	-0.0726	3641542.9687	3509015738.0253	3509012096.4823	-0.6211	-1.8584	1.8806	0.2457	9.5303	2.3578	-0.4163	-0.8872	-0.0716	3641748.0469	0.1257	0.2355	0.0840	0.3238	6.7990	-7.4024	-0.9180	0.9076	0.1784	3638935.5469	7.7086	6.1904	-1.8843	0.8320	9.7903	-1.2559	0.0742	-0.8563	0.4171	0.0000	0.0000
