Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
507851.5625	-0.0640	0.2615	-0.2482	9.0359	3.3807	1.7184	-0.7810	-0.5825	-0.1518	507851.5625	0.0031	-0.5527	-0.2472	-0.2910	9.7180	0.0882	0.3712	-0.8633	0.1785	507851.5625	-0.0277	0.1263	-0.1657	-0.6448	4.9645	-8.3265	0.4829	-0.5417	0.6123	507675.7812	-0.2296	2.8315	-0.3852	-9.3777	1.7363	-2.2191	0.3980	-0.6091	-0.0515	507851.5625	3509012604.4598	3509012096.6082	0.0399	-0.8563	0.9410	1.1064	9.7438	0.3803	-0.6245	-0.5787	-0.0968	507851.5625	-0.2375	-0.2690	-0.3358	-0.0710	6.4896	-7.4679	-0.7840	0.5756	0.2042	507851.5625	1.1544	-0.6206	-0.1674	0.7602	6.5898	7.4857	0.1837	-0.7490	-0.2972	0.0000	0.0000
507861.3281	-0.0640	0.2615	-0.2482	9.1975	3.4570	1.9416	-0.7981	-0.5456	-0.1410	507861.3281	-0.2160	-0.2247	-0.0562	-0.0522	9.7952	0.0080	0.3731	-0.8633	0.1978	507861.3281	-0.0277	0.1263	-0.1657	-0.6448	4.8069	-8.4018	0.4970	-0.4854	0.6256	507685.5469	-0.2296	2.8315	-0.3852	-9.2221	1.5835	-2.1419	0.4431	-0.5782	-0.0656	507861.3281	3509012604.4696	3509012096.6082	0.0399	-0.8563	0.9410	1.1846	9.8215	0.3796	-0.6204	-0.6447	-0.1495	507861.3281	-0.2375	-0.2690	-0.3358	-0.1482	6.4928	-7.3072	-0.7840	0.5756	0.2042	507861.3281	1.1544	-0.6206	-0.1674	0.8405	6.7435	7.5620	0.1614	-0.7433	-0.3088	0.0000	0.0000
507871.0937	-0.0640	0.2615	-0.2482	9.1178	3.3043	1.9439	-0.7676	-0.5592	-0.1670	507871.0937	-0.2160	-0.2247	-0.0562	-0.2910	9.7944	-0.0706	0.3269	-0.8457	0.2108	507871.0937	0.0891	-0.0733	-0.2145	-0.6448	4.8869	-8.2489	0.4487	-0.5437	0.6410	507695.3125	0.6735	1.2334	-0.0891	-9.1448	1.7363	-2.1443	0.3824	-0.5658	-0.0351	507871.0937	3509012604.4793	3509012096.6082	0.0399	-0.8563	0.9410	1.1064	9.8207	0.3006	-0.6041	-0.6766	-0.1242	507871.0937	0.0746	-0.2052	-0.3458	-0.2286	6.4127	-7.4632	-0.6620	0.5336	0.2582	507871.0937	1.2464	-0.3935	-0.0953	0.9202	6.5906	7.5635	0.1744	-0.7854	-0.2857	0.0000	0.0000
507880.8594	0.0778	0.9504	-0.4360	9.0373	3.6862	1.8657	-0.7943	-0.5379	-0.1432	507880.8594	-0.2160	-0.2247	-0.0562	-0.2910	9.7180	0.0882	0.3269	-0.8457	0.2108	507880.8594	0.0891	-0.0733	-0.2145	-0.6448	4.8876	-8.1721	0.4487	-0.5437	0.6410	507705.0781	0.6735	1.2334	-0.0891	-9.2221	1.5835	-2.1419	0.3961	-0.6029	-0.0585	507880.8594	3509012604.4891	3509012096.6082	-0.2022	0.8120	1.1109	1.1846	9.7446	0.4593	-0.6041	-0.6766	-0.1242	507880.8594	0.0746	-0.2052	-0.3458	-0.1498	6.4897	-7.4663	-0.8460	0.6597	0.2324	507880.8594	1.2464	-0.3935	-0.0953	0.9202	6.5906	7.5635	0.1410	-0.7835	-0.3111	0.0000	0.0000
507890.6250	0.0778	0.9504	-0.4360	9.0381	3.3043	1.9447	-0.7676	-0.5631	-0.1518	507890.6250	-0.3525	1.2606	0.2195	-0.2114	9.7180	0.0882	0.3654	-0.8633	0.1828	507890.6250	0.0891	-0.0733	-0.2145	-0.6448	5.0422	-8.4041	0.4748	-0.5542	0.6300	507714.8437	0.6735	1.2334	-0.0891	-9.3769	1.7363	-2.1419	0.3961	-0.6029	-0.0585	507890.6250	3509012604.4989	3509012096.6082	-0.2022	0.8120	1.1109	1.1846	9.6676	0.5391	-0.6306	-0.5617	-0.0905	507890.6250	0.0746	-0.2052	-0.3458	-0.3074	6.5667	-7.4647	-0.7700	0.5966	0.2042	507890.6250	1.2464	-0.3935	-0.0953	0.8398	6.5898	7.4857	0.1855	-0.7261	-0.2811	0.0000	0.0000
507900.3906	0.0778	0.9504	-0.4360	9.1178	3.2279	1.9447	-0.8038	-0.5689	-0.1475	507900.3906	-0.3525	1.2606	0.2195	-0.2910	9.7960	0.0866	0.3788	-0.8281	0.2129	507900.3906	-0.1630	0.1552	-0.0120	-0.5669	4.9645	-8.3273	0.4990	-0.5542	0.6189	507724.6094	0.6735	1.2334	-0.0891	-9.1455	1.5835	-2.2199	0.4392	-0.6029	-0.0539	507900.3906	3509012604.5086	3509012096.6082	-0.2022	0.8120	1.1109	1.2628	9.8215	0.3796	-0.6286	-0.6255	-0.1368	507900.3906	0.3242	-0.2910	-0.3524	-0.1482	6.5698	-7.3088	-0.7700	0.5966	0.2042	507900.3906	2.3546	-0.8022	-0.3215	0.9186	6.6655	7.4072	0.1614	-0.7452	-0.3065	0.0000	0.0000
507910.1562	0.4147	0.4561	-0.2890	9.0389	3.3807	2.0192	-0.7752	-0.5981	-0.1692	507910.1562	-0.3525	1.2606	0.2195	-0.2114	9.7180	0.0882	0.3788	-0.8281	0.2129	507910.1562	-0.1630	0.1552	-0.0120	-0.6448	4.8861	-8.3257	0.4487	-0.5208	0.6674	507734.3750	0.1837	0.4603	-0.4490	-9.2988	1.7363	-2.0655	0.3863	-0.5679	-0.0468	507910.1562	3509012604.5184	3509012096.6082	-0.4042	-0.4239	0.7156	1.2628	9.5906	0.6189	-0.6286	-0.6255	-0.1368	507910.1562	0.3242	-0.2910	-0.3524	-0.3066	6.5683	-7.3852	-0.6720	0.5483	0.2441	507910.1562	2.3546	-0.8022	-0.3215	0.8390	6.5890	7.4080	0.1892	-0.7548	-0.2811	0.0000	0.0000
