Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2586982.4219	7.0841	-3.5075	7.0696	8.4256	0.8604	-3.5147	-0.7105	-0.3146	0.4447	2588574.2187	-0.1502	0.9507	-0.0766	-1.1667	9.6352	-0.3819	0.3962	-0.7578	0.2409	2588574.2187	-0.0052	-0.2606	-0.0026	1.6910	5.2818	-7.9689	0.1791	-0.6000	0.5793	2588056.6406	0.4133	2.6951	0.2768	-8.9251	1.2017	4.3438	0.2745	-0.5432	-0.5831	2588574.2187	3509014685.1015	3509012096.5273	-0.4067	-0.3933	0.4709	1.1064	9.4549	2.5956	-0.5959	-0.5638	-0.4105	2588574.2187	-0.2050	0.2270	-0.2065	-0.6319	5.4700	-8.3915	-0.3840	0.6933	0.2230	2585732.4219	-0.6821	-0.6811	-1.2759	0.2864	9.6491	-0.0880	-0.0260	-0.7605	0.3525	0.0000	0.0000
2586992.1875	7.0841	-3.5075	7.0696	8.9000	1.0131	-3.8970	-0.7124	-0.3146	0.4252	2588583.9844	-0.1502	0.9507	-0.0766	-1.3259	9.7125	-0.4621	0.3615	-0.7969	0.2559	2588583.9844	-0.0052	-0.2606	-0.0026	1.6131	5.4387	-7.9697	0.1791	-0.6000	0.5793	2588066.4062	0.5970	2.1689	0.1080	-8.7719	1.0489	4.1894	0.2902	-0.5267	-0.6230	2588583.9844	3509014685.1113	3509012096.5273	0.1451	0.0138	0.7966	1.0281	9.3755	2.4383	-0.5898	-0.5872	-0.3726	2588583.9844	-0.2050	0.2270	-0.2065	-0.6311	5.4715	-8.3120	-0.3840	0.6933	0.2230	2585742.1875	-0.6821	-0.6811	-1.2759	0.2856	9.7247	-0.1665	-0.0019	-0.7625	0.3318	0.0000	0.0000
2587001.9531	7.3607	6.8457	9.5583	10.0931	1.3950	-4.1384	-0.7010	-0.3417	0.4317	2588593.7500	-0.1502	0.9507	-0.0766	-1.1667	9.7109	-0.6193	0.3654	-0.7656	0.2452	2588593.7500	-0.1550	-0.1990	0.0604	1.6131	5.2834	-7.8145	0.1871	-0.6479	0.5419	2588076.1719	0.5970	2.1689	0.1080	-8.8493	1.1253	4.1894	0.2902	-0.5267	-0.6230	2588593.7500	3509014685.1211	3509012096.5273	0.1451	0.0138	0.7966	1.1064	9.3779	2.6754	-0.5898	-0.5872	-0.3726	2588593.7500	-0.2050	0.2270	-0.2065	-0.6304	5.4731	-8.2324	-0.3140	0.6576	0.1831	2585751.9531	-0.7053	-0.1665	0.9677	0.3668	9.8027	-0.0118	-0.0260	-0.7663	0.3594	0.0000	0.0000
2587011.7187	7.3607	6.8457	9.5583	10.9652	1.7005	-4.6014	-0.7010	-0.3379	0.4208	2588603.5156	-0.3751	-1.1849	0.1806	-1.2463	9.6368	-0.2247	0.3865	-0.7910	0.2344	2588603.5156	-0.1550	-0.1990	0.0604	1.6910	5.2049	-7.8145	0.2193	-0.6125	0.5154	2588085.9375	0.5970	2.1689	0.1080	-8.9267	1.1253	4.1902	0.3020	-0.5165	-0.6089	2588603.5156	3509014685.1308	3509012096.5273	0.1451	0.0138	0.7966	1.0281	9.4572	2.8326	-0.6286	-0.5638	-0.3474	2588603.5156	0.0753	0.0963	-0.2737	-0.6311	5.4715	-8.3120	-0.3200	0.7269	0.2488	2585761.7187	-0.7053	-0.1665	0.9677	0.2053	9.8769	-0.2458	-0.0056	-0.7759	0.3249	0.0000	0.0000
2587021.4844	7.3607	6.8457	9.5583	11.3651	1.9296	-4.4573	-0.7067	-0.3165	0.4295	2588613.2812	-0.3751	-1.1849	0.1806	-1.1667	9.7140	-0.3048	0.3865	-0.7910	0.2344	2588613.2812	-0.1550	-0.1990	0.0604	1.6910	5.2818	-7.9689	0.1891	-0.5750	0.5683	2588095.7031	0.5970	2.1689	0.1080	-8.7719	1.2017	4.1879	0.2745	-0.5309	-0.5785	2588613.2812	3509014685.1406	3509012096.5273	0.1451	0.0138	0.7966	1.0281	9.4565	2.7536	-0.6122	-0.5830	-0.4232	2588613.2812	0.0753	0.0963	-0.2737	-0.6304	5.5501	-8.2340	-0.3840	0.6534	0.2230	2585771.4844	-0.7053	-0.1665	0.9677	0.2856	9.8777	-0.1680	-0.0278	-0.7567	0.3502	0.0000	0.0000
2587031.2500	3.7179	-5.5450	-4.6464	10.7321	1.7005	-3.9974	-0.7257	-0.3087	0.4295	2588623.0469	-0.3751	-1.1849	0.1806	-1.3259	9.7132	-0.3835	0.3846	-0.7715	0.2538	2588623.0469	-0.1550	-0.1990	0.0604	1.6131	5.3626	-7.7384	0.1891	-0.5750	0.5683	2588105.4687	0.8419	0.8837	0.2483	-8.9274	1.1253	4.1130	0.2824	-0.5226	-0.6206	2588623.0469	3509014685.1504	3509012096.5273	0.4797	0.2245	0.7374	1.1846	9.4565	2.7536	-0.6122	-0.5830	-0.4232	2588623.0469	0.0753	0.0963	-0.2737	-0.5523	5.4715	-8.3136	-0.3840	0.6534	0.2230	2585781.2500	-0.7053	-0.1665	0.9677	0.1272	9.8020	-0.0895	-0.0204	-0.8161	0.3272	0.0000	0.0000
2587041.0156	3.7179	-5.5450	-4.6464	9.9368	1.1659	-3.8337	-0.7181	-0.3146	0.4447	2588632.8125	-0.3081	-0.1940	0.0979	-1.2463	9.7140	-0.3048	0.3731	-0.7715	0.2430	2588632.8125	-0.1867	-0.2769	0.1359	1.5353	5.2826	-7.8905	0.1690	-0.6562	0.5485	2588115.2344	0.8419	0.8837	0.2483	-8.8501	1.1253	4.1122	0.2824	-0.5226	-0.6206	2588632.8125	3509014685.1601	3509012096.5273	0.4797	0.2245	0.7374	1.1064	9.3771	2.5964	-0.5857	-0.5979	-0.3916	2588632.8125	-0.0792	0.0675	-0.1185	-0.6319	5.4700	-8.3915	-0.2980	0.6975	0.1784	2585791.0156	-0.1656	1.1806	0.1733	0.3652	9.8012	-0.1673	-0.0482	-0.8123	0.3387	0.0000	0.0000
