Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
1805947.2656	2.9580	0.4307	-0.9615	7.5315	2.5406	-5.2523	-0.6190	-0.4447	0.4902	1807363.2812	1.6293	0.0498	-0.2900	0.7438	9.5407	-2.0311	0.2423	-0.7793	0.3699	1807363.2812	0.0191	0.2022	-0.1502	-0.0219	4.5708	-8.4825	0.3924	-0.5104	0.5683	1806845.7031	-3.9798	-1.7555	2.0830	-8.9908	2.1945	-2.2276	0.3961	-0.6193	-0.1077	1807363.2812	3509013903.9204	3509012096.5571	-1.2146	-0.6450	0.4377	-0.9279	9.6558	-0.6459	-0.5388	-0.7298	0.0400	1807363.2812	0.3227	0.5340	-0.5109	-0.6365	4.6136	-8.8519	-0.2120	0.8193	0.2934	1804912.1094	17.6748	-4.1320	-0.0857	-0.0250	9.9619	0.6088	0.0186	-0.7567	0.2788	0.0000	0.0000
1805957.0312	2.9580	0.4307	-0.9615	7.4526	2.4642	-5.1755	-0.6095	-0.4699	0.4794	1807373.0469	1.6293	0.0498	-0.2900	0.7438	9.5415	-1.9525	0.2423	-0.7793	0.3699	1807373.0469	0.0191	0.2022	-0.1502	-0.1776	4.5716	-8.4041	0.3803	-0.4979	0.6035	1806855.4687	-3.9798	-1.7555	2.0830	-8.9127	2.0418	-2.1496	0.4314	-0.5947	-0.1148	1807373.0469	3509013903.9301	3509012096.5571	-1.2146	-0.6450	0.4377	-0.9279	9.6558	-0.6459	-0.5082	-0.7830	0.0421	1807373.0469	0.3227	0.5340	-0.5109	-0.3993	4.5381	-8.7756	-0.2500	0.8172	0.3521	1804921.8750	16.4300	-2.8909	-1.3543	-0.1811	9.9650	0.9198	-0.0111	-0.7548	0.3018	0.0000	0.0000
1805966.7969	3.4358	0.8555	-1.1598	7.6105	2.5406	-5.3283	-0.5981	-0.4699	0.4772	1807382.8125	1.6293	0.0498	-0.2900	0.7438	9.4634	-1.9509	0.2673	-0.8027	0.3656	1807382.8125	0.0191	0.2022	-0.1502	-0.0998	4.6508	-8.3288	0.3903	-0.5292	0.5881	1806865.2344	-3.9798	-1.7555	2.0830	-8.7556	2.0418	-1.9196	0.4314	-0.5947	-0.1148	1807382.8125	3509013903.9399	3509012096.5571	-1.2146	-0.6450	0.4377	-0.8496	9.6542	-0.8039	-0.5082	-0.7830	0.0421	1807382.8125	0.3227	0.5340	-0.5109	-0.4001	4.6135	-8.8567	-0.2500	0.8172	0.3521	1804931.6406	16.4300	-2.8909	-1.3543	-0.2623	9.9634	0.7643	0.0093	-0.7625	0.2788	0.0000	0.0000
1805976.5625	3.4358	0.8555	-1.1598	7.6105	2.6169	-5.3291	-0.6000	-0.4874	0.4685	1807392.5781	1.6293	0.0498	-0.2900	0.5846	9.6187	-2.0327	0.2615	-0.7676	0.3763	1807392.5781	0.2715	-0.0140	-0.2005	-0.0998	4.6508	-8.3288	0.4125	-0.5083	0.5661	1806875.0000	-3.9798	-1.7555	2.0830	-8.8338	2.1181	-1.9968	0.4118	-0.5700	-0.0773	1807392.5781	3509013903.9497	3509012096.5571	-0.6808	-1.9953	0.4855	-0.6932	9.8097	-0.8055	-0.5224	-0.7213	0.1011	1807392.5781	0.2429	0.3298	-0.6868	-0.4781	4.6151	-8.7755	-0.2620	0.7815	0.3239	1804941.4062	16.4300	-2.8909	-1.3543	-0.0219	10.0414	0.9190	-0.0186	-0.7490	0.2903	0.0000	0.0000
1805986.3281	3.4358	0.8555	-1.1598	7.6894	2.4642	-5.4035	-0.6057	-0.4602	0.4751	1807402.3437	0.3859	-1.5850	-0.3143	0.6642	9.5407	-2.0311	0.2615	-0.7676	0.3763	1807402.3437	0.2715	-0.0140	-0.2005	-0.1776	4.7284	-8.4057	0.4125	-0.5083	0.5661	1806884.7656	-5.1125	4.2689	0.8072	-9.0667	2.1181	-2.0716	0.4000	-0.6029	-0.0984	1807402.3437	3509013903.9594	3509012096.5571	-0.6808	-1.9953	0.4855	-0.7714	9.6534	-0.8830	-0.5531	-0.7660	0.0611	1807402.3437	0.2429	0.3298	-0.6868	-0.5561	4.5397	-8.6929	-0.2160	0.8319	0.3052	1804951.1719	12.0098	-2.8001	0.7925	-0.1015	9.8885	0.9206	0.0074	-0.7778	0.2696	0.0000	0.0000
1805996.0937	3.5742	2.1582	-1.0496	7.7691	2.6169	-5.4059	-0.5962	-0.4951	0.4664	1807412.1094	0.3859	-1.5850	-0.3143	0.6642	9.5407	-2.0311	0.2327	-0.7734	0.3720	1807412.1094	0.2715	-0.0140	-0.2005	-0.1776	4.6516	-8.2512	0.3924	-0.4521	0.6079	1806894.5312	-5.1125	4.2689	0.8072	-9.1448	2.0418	-2.1473	0.4294	-0.5967	-0.1030	1807412.1094	3509013903.9692	3509012096.5571	-0.6808	-1.9953	0.4855	-0.6932	9.5748	-0.9612	-0.5531	-0.7660	0.0611	1807412.1094	0.2429	0.3298	-0.6868	-0.5570	4.6151	-8.7739	-0.2400	0.8235	0.3662	1804960.9375	12.0098	-2.8001	0.7925	-0.1007	9.8129	0.9991	-0.0056	-0.7701	0.2995	0.0000	0.0000
1806005.8594	3.5742	2.1582	-1.0496	7.7706	2.6933	-5.2562	-0.6152	-0.4699	0.4772	1807421.8750	0.3859	-1.5850	-0.3143	0.5846	9.6195	-1.9541	0.2769	-0.8164	0.3591	1807421.8750	-0.0906	-0.0015	0.1225	-0.0998	4.7284	-8.4064	0.3843	-0.5354	0.5859	1806904.2969	-5.1125	4.2689	0.8072	-9.3770	2.1945	-2.1465	0.4294	-0.5967	-0.1030	1807421.8750	3509013903.9790	3509012096.5571	-0.2086	-0.6093	0.4687	-0.6932	9.5764	-0.8032	-0.5102	-0.7447	0.0505	1807421.8750	0.2621	-0.1527	-0.3219	-0.5577	4.6135	-8.8535	-0.2400	0.8235	0.3662	1804970.7031	12.0098	-2.8001	0.7925	-0.0976	9.8924	1.3093	0.0056	-0.7567	0.2650	0.0000	0.0000
