Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3501123.0469	3.0162	-0.8586	-0.4865	8.9501	3.5334	1.1161	-0.9086	-0.5340	-0.0282	3502714.8437	-1.1445	-14.1304	-1.0734	-1.6443	9.8078	1.2658	0.3827	-0.8145	0.0473	3502236.3281	0.5783	-0.5264	-0.0415	0.9124	6.2299	-7.2791	0.2254	-0.6083	0.4405	3502197.2656	1.9746	-0.0107	0.0188	-7.7483	2.3473	5.9418	0.2608	-0.4671	-0.6300	3502294.9219	3509015598.7836	3509012096.4887	-0.3934	0.0192	0.2759	1.1064	9.0049	4.2593	-0.4571	-0.4234	-0.7705	3502500.0000	-0.2521	0.2298	-0.2352	-0.2184	7.5112	-6.4506	-0.4000	0.5861	-0.1385	3499687.5000	0.9084	-0.6357	-0.4303	1.5593	9.6483	-0.1657	-0.0241	-0.7548	0.3710	0.0000	0.0000
3501132.8125	3.0162	-0.8586	-0.4865	9.0313	3.6862	1.2641	-0.9181	-0.5359	-0.0564	3502724.6094	-1.1445	-14.1304	-1.0734	-1.8831	9.7321	1.5031	0.4154	-0.7812	0.0452	3502246.0937	0.5783	-0.5264	-0.0415	0.9124	6.3083	-7.2799	0.2133	-0.6667	0.4383	3502207.0312	1.9746	-0.0107	0.0188	-7.5169	2.2709	5.8631	0.2275	-0.5370	-0.6440	3502304.6875	3509015598.7934	3509012096.4887	-0.3934	0.0192	0.2759	1.0281	9.0843	4.4166	-0.4571	-0.4234	-0.7705	3502509.7656	0.0588	0.4947	-0.3673	-0.2964	7.4358	-6.3679	-0.3420	0.6282	-0.1620	3499697.2656	0.9084	-0.6357	-0.4303	1.6381	9.6475	-0.2435	-0.0427	-0.7893	0.3594	0.0000	0.0000
3501142.5781	2.7918	0.0335	-0.6014	8.9501	3.5334	1.1161	-0.9295	-0.5087	-0.0369	3502734.3750	-1.1445	-14.1304	-1.0734	-1.9627	9.8882	1.5000	0.3981	-0.7871	0.0624	3502255.8594	0.8573	0.5859	-0.5805	0.9124	6.2299	-7.2791	0.2133	-0.6667	0.4383	3502216.7969	1.7603	0.3375	-0.2091	-7.5951	2.3473	5.7859	0.2275	-0.5370	-0.6440	3502314.4531	3509015598.8032	3509012096.4887	-0.3934	0.0192	0.2759	1.0281	8.7732	4.4197	-0.4408	-0.4447	-0.7453	3502519.5312	0.0588	0.4947	-0.3673	-0.4549	7.5113	-6.4459	-0.3800	0.5924	-0.0962	3499707.0312	0.9084	-0.6357	-0.4303	1.4797	9.7247	-0.1665	-0.0427	-0.7375	0.3825	0.0000	0.0000
3501152.3437	2.7918	0.0335	-0.6014	9.0313	3.6098	1.2649	-0.9124	-0.4874	-0.0521	3502744.1406	-1.6198	0.1291	-4.7976	-1.4851	9.8882	1.5000	0.3846	-0.8223	0.0452	3502265.6250	0.8573	0.5859	-0.5805	0.9124	6.2299	-7.2791	0.2435	-0.6562	0.3855	3502226.5625	1.7603	0.3375	-0.2091	-7.5185	2.2709	5.7087	0.2627	-0.4712	-0.6815	3502324.2187	3509015598.8129	3509012096.4887	-0.3154	-0.1955	0.4575	1.0281	8.7717	4.2617	-0.4939	-0.4234	-0.7074	3502529.2969	0.0588	0.4947	-0.3673	-0.2973	7.6652	-6.4521	-0.3960	0.6134	-0.1455	3499716.7969	-0.1555	-0.7265	-0.3423	1.4789	9.7240	-0.2443	-0.0204	-0.7395	0.3525	0.0000	0.0000
3501162.1094	2.7918	0.0335	-0.6014	9.0298	3.6098	1.1145	-0.8990	-0.5049	-0.0325	3502753.9062	-1.6198	0.1291	-4.7976	-0.9279	9.5760	1.5063	0.3846	-0.8223	0.0452	3502275.3906	0.8573	0.5859	-0.5805	0.9124	6.3083	-7.2799	0.2394	-0.6333	0.4207	3502236.3281	1.7603	0.3375	-0.2091	-7.5951	2.2709	5.7867	0.2588	-0.4897	-0.6323	3502333.9844	3509015598.8227	3509012096.4887	-0.3154	-0.1955	0.4575	1.0281	8.9280	4.3391	-0.4939	-0.4234	-0.7074	3502539.0625	-0.0830	0.5195	-0.4986	-0.2973	7.6652	-6.4521	-0.3960	0.6134	-0.1455	3499726.5625	-0.1555	-0.7265	-0.3423	1.3985	9.6467	-0.3213	-0.0315	-0.7433	0.3779	0.0000	0.0000
3501171.8750	2.7918	0.0335	-0.6014	9.0298	3.5334	1.1153	-0.8971	-0.5107	-0.0521	3502763.6719	-1.6198	0.1291	-4.7976	-1.0871	9.4192	1.4308	0.4269	-0.7617	0.0452	3502285.1562	1.4727	1.1603	-1.2347	0.9124	6.3868	-7.2807	0.2133	-0.6458	0.4515	3502246.0937	1.2246	0.3069	-0.7113	-7.4404	2.4236	5.7836	0.2216	-0.5144	-0.6417	3502343.7500	3509015598.8325	3509012096.4887	-0.3154	-0.1955	0.4575	0.9499	8.8502	4.3399	-0.4796	-0.4319	-0.7495	3502548.8281	-0.0830	0.5195	-0.4986	-0.2973	7.6652	-6.4521	-0.3460	0.6197	-0.1479	3499736.3281	-0.1555	-0.7265	-0.3423	1.4781	9.6467	-0.3213	-0.0334	-0.7567	0.3548	0.0000	0.0000
3501181.6406	2.9910	-0.4902	-0.3918	8.9509	3.5334	1.1913	-0.9086	-0.4874	-0.0304	3502773.4375	-3.9157	4.4985	-6.1045	-1.3259	9.4168	1.1950	0.3885	-0.7793	0.0667	3502294.9219	1.4727	1.1603	-1.2347	0.8345	6.3868	-7.2799	0.2133	-0.6458	0.4515	3502255.8594	1.2246	0.3069	-0.7113	-7.5943	2.3473	5.8631	0.2216	-0.5144	-0.6417	3502353.5156	3509015598.8422	3509012096.4887	0.1136	0.4727	0.6940	1.0281	8.8494	4.2609	-0.4531	-0.4362	-0.7474	3502558.5937	-0.0830	0.5195	-0.4986	-0.3753	7.5898	-6.3694	-0.3780	0.6366	-0.0962	3499746.0937	-0.5795	-0.2573	-0.1435	1.4797	9.5718	-0.1650	-0.0445	-0.7299	0.3779	0.0000	0.0000
