Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
2533564.4531	13.7375	35.0268	99.4295	5.6711	6.7411	-0.0113	-0.3924	-0.7786	0.1258	2535156.2500	0.5366	-1.3524	0.9973	0.1070	9.6383	-0.0675	0.2635	-0.8652	0.1935	2535156.2500	0.1097	0.2010	-0.1359	1.6910	5.1258	-7.8905	0.1529	-0.5875	0.5815	2534638.6719	-1.3317	-3.9685	2.0546	1.0360	9.5263	2.1537	-0.6314	-0.5885	-0.4262	2535156.2500	3509014631.6854	3509012096.5292	-1.8857	-1.9527	1.8950	0.1675	9.8350	1.7226	-0.5918	-0.6383	-0.2463	2535156.2500	-0.0191	0.4061	-0.3491	-0.7115	5.3914	-8.4680	-0.3120	0.7143	0.2488	2532314.4531	-0.3979	-0.6508	-0.2417	0.0616	9.5866	1.3124	0.0260	-0.7720	0.2419	0.0000	0.0000
2533574.2187	27.7839	48.6942	107.9179	6.0703	6.8938	0.0584	-0.3962	-0.7728	0.1302	2535166.0156	0.3900	-3.3243	1.4652	-0.0522	9.6383	-0.0675	0.2808	-0.8301	0.1806	2535166.0156	0.1097	0.2010	-0.1359	1.8467	5.2818	-7.9704	0.1791	-0.6417	0.5639	2534648.4375	3.1226	-4.9206	1.8388	1.0345	9.6026	1.9986	-0.6314	-0.5885	-0.4262	2535166.0156	3509014631.6952	3509012096.5292	-1.8857	-1.9527	1.8950	0.1675	9.7572	1.7234	-0.5918	-0.6383	-0.2779	2535166.0156	-0.0191	0.4061	-0.3491	-0.7099	5.3176	-8.3073	-0.3120	0.7143	0.2488	2532324.2187	-0.3979	-0.6508	-0.2417	0.1412	9.8160	1.3101	-0.0019	-0.7931	0.2350	0.0000	0.0000
2533583.9844	27.7839	48.6942	107.9179	6.3936	7.1993	0.5033	-0.3581	-0.8000	0.1150	2535175.7812	0.3900	-3.3243	1.4652	0.0274	9.7944	-0.0706	0.2885	-0.8633	0.1978	2535175.7812	0.1097	0.2010	-0.1359	1.8467	5.2049	-7.8160	0.2012	-0.6250	0.5352	2534658.2031	3.1226	-4.9206	1.8388	0.9579	9.6026	2.0765	-0.6431	-0.6070	-0.4028	2535175.7812	3509014631.7050	3509012096.5292	-1.8712	-1.6930	1.8210	0.3240	9.7564	1.6444	-0.5796	-0.6383	-0.2779	2535175.7812	-0.1135	0.2753	-0.4201	-0.7903	5.2375	-8.4633	-0.3740	0.6828	0.2488	2532333.9844	-0.3979	-0.6508	-0.2417	0.0624	9.8932	1.3871	0.0334	-0.8123	0.2281	0.0000	0.0000
2533593.7500	27.7839	48.6942	107.9179	6.2364	7.3520	0.7290	-0.3752	-0.7903	0.1215	2535185.5469	0.3900	-3.3243	1.4652	-0.1318	9.8724	-0.0721	0.2885	-0.8633	0.1978	2535185.5469	0.0426	-0.1351	-0.1690	1.8467	5.2034	-7.9697	0.2012	-0.6250	0.5352	2534667.9687	3.1226	-4.9206	1.8388	1.0330	9.6026	1.8442	-0.6569	-0.5823	-0.4005	2535185.5469	3509014631.7147	3509012096.5292	-1.8712	-1.6930	1.8210	0.1675	9.6795	1.7242	-0.5531	-0.6915	-0.2800	2535185.5469	-0.1135	0.2753	-0.4201	-0.6327	5.3144	-8.4680	-0.3220	0.6849	0.1948	2532343.7500	-0.2894	-0.4389	-0.0339	0.2216	9.8932	1.3871	0.0093	-0.8238	0.2258	0.0000	0.0000
2533603.5156	27.5473	21.4490	113.5583	5.6026	7.8103	1.1068	-0.3314	-0.8117	0.1106	2535195.3125	-0.3663	-4.2089	1.1468	-0.2910	9.8717	-0.1508	0.2673	-0.8535	0.1849	2535195.3125	0.0426	-0.1351	-0.1690	1.7689	5.2834	-7.8160	0.1751	-0.5792	0.5727	2534677.7344	3.8267	-12.2221	3.2801	0.8774	9.6026	1.7685	-0.6569	-0.5823	-0.4005	2535195.3125	3509014631.7245	3509012096.5292	-1.8712	-1.6930	1.8210	0.1675	9.6009	1.6460	-0.5816	-0.6468	-0.2421	2535195.3125	-0.1135	0.2753	-0.4201	-0.7107	5.2390	-8.3853	-0.3260	0.7395	0.2629	2532353.5156	-0.2894	-0.4389	-0.0339	0.1412	9.7395	1.3109	0.0167	-0.7835	0.2419	0.0000	0.0000
2533613.2812	27.5473	21.4490	113.5583	5.6026	7.8103	1.1068	-0.3505	-0.8214	0.1128	2535205.0781	-0.3663	-4.2089	1.1468	-0.2910	9.7156	-0.1476	0.3000	-0.8184	0.1828	2535205.0781	0.0426	-0.1351	-0.1690	1.7689	5.2811	-8.0465	0.1751	-0.5979	0.5705	2534687.5000	3.8267	-12.2221	3.2801	0.9556	9.6790	1.8442	-0.6451	-0.5844	-0.4145	2535205.0781	3509014631.7343	3509012096.5292	-1.8712	-1.6930	1.8210	0.1675	9.6795	1.7242	-0.5816	-0.6468	-0.2421	2535205.0781	-0.0668	0.1372	-0.4351	-0.6327	5.2374	-8.4665	-0.3260	0.7395	0.2629	2532363.2812	-0.2894	-0.4389	-0.0339	0.1412	9.7395	1.3109	0.0056	-0.8008	0.2143	0.0000	0.0000
2533623.0469	27.5473	21.4490	113.5583	5.6019	7.7339	1.0323	-0.3048	-0.8524	0.1020	2535214.8437	-0.3663	-4.2089	1.1468	-0.3706	9.7156	-0.1476	0.2846	-0.8340	0.2000	2535214.8437	0.0219	0.3420	-0.2401	2.0024	5.1257	-7.8936	0.1891	-0.5979	0.5463	2534697.2656	3.8267	-12.2221	3.2801	0.9564	9.5263	1.9229	-0.6431	-0.5967	-0.4052	2535214.8437	3509014631.7440	3509012096.5292	-1.1104	-2.1133	1.7096	0.2457	9.7572	1.7234	-0.5898	-0.6468	-0.2800	2535214.8437	-0.0668	0.1372	-0.4351	-0.4743	5.1620	-8.3885	-0.3720	0.6534	0.2488	2532373.0469	-0.2894	-0.4389	-0.0339	0.1412	9.8160	1.3101	0.0427	-0.7778	0.2327	0.0000	0.0000
