Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
3450556.6406	5.3826	-7.4180	1.7355	-1.3834	9.0322	3.8718	0.2781	-0.8427	-0.1367	3452148.4375	0.5423	-1.3637	0.0003	0.0274	9.7132	-0.3835	0.2981	-0.8066	0.2129	3451669.9219	-0.0483	0.6070	-0.4192	0.2117	6.0724	-7.3474	0.3219	-0.6104	0.4537	3451630.8594	-1.2705	6.1075	-0.6410	1.3510	9.3735	2.6925	-0.7392	-0.5288	-0.3021	3451728.5156	3509015548.2187	3509012096.4902	-0.1678	1.7287	1.5030	0.0892	9.6056	2.1200	-0.5082	-0.6511	-0.5074	3451933.5937	-0.5170	0.2392	-0.1972	0.2489	6.9610	-7.0061	-0.4080	0.6429	0.0516	3449121.0937	-14.9462	-1.0746	-3.9028	1.2300	9.9432	-1.2574	-0.3024	-0.5881	0.4908	0.0000	0.0000
3450566.4062	5.3826	-7.4180	1.7355	-1.4661	8.9558	3.5726	0.2476	-0.8544	-0.1432	3452158.2031	0.5423	-1.3637	0.0003	0.0274	9.7148	-0.2262	0.2865	-0.8359	0.1957	3451679.6875	-0.0483	0.6070	-0.4192	0.2895	6.2300	-7.2729	0.3078	-0.6125	0.4934	3451640.6250	-1.2705	6.1075	-0.6410	1.4276	9.4499	2.6138	-0.7431	-0.5638	-0.3349	3451738.2812	3509015548.2285	3509012096.4902	-0.1678	1.7287	1.5030	0.2457	9.6826	2.0402	-0.4490	-0.6809	-0.5284	3451943.3594	-0.5170	0.2392	-0.1972	0.2489	6.9610	-7.0061	-0.3720	0.6597	0.0000	3449130.8594	-14.9462	-1.0746	-3.9028	1.1488	9.8652	-1.4121	-0.3173	-0.5958	0.5000	0.0000	0.0000
3450576.1719	5.3826	-7.4180	1.7355	-1.3842	9.0322	3.7966	0.2743	-0.8388	-0.1345	3452167.9687	1.2702	-1.3793	-0.3086	-0.0522	9.7148	-0.2262	0.3404	-0.8340	0.1935	3451689.4531	-0.0483	0.6070	-0.4192	0.2117	6.2292	-7.3489	0.3280	-0.6625	0.4471	3451650.3906	-1.2705	6.1075	-0.6410	1.4291	9.4499	2.7682	-0.7078	-0.5617	-0.3372	3451748.0469	3509015548.2382	3509012096.4902	-0.7929	2.8201	1.4679	0.1675	9.6033	1.8830	-0.4490	-0.6809	-0.5284	3451953.1250	-0.2354	-0.1235	-0.1269	0.2481	7.1133	-7.0888	-0.3440	0.6639	0.0164	3449140.6250	-14.9462	-1.0746	-3.9028	0.9920	9.7146	-1.1773	-0.3117	-0.5843	0.4977	0.0000	0.0000
3450585.9375	2.2409	-1.4185	-1.2302	-1.3060	8.9558	3.6462	0.2476	-0.8000	-0.1193	3452177.7344	1.2702	-1.3793	-0.3086	-0.0522	9.7148	-0.2262	0.3404	-0.8340	0.1935	3451699.2187	-0.0483	0.6070	-0.4192	0.2895	6.1508	-7.3489	0.3280	-0.6625	0.4471	3451660.1562	-2.3726	2.1260	-1.5913	1.5057	9.3735	2.6910	-0.7275	-0.5370	-0.3021	3451757.8125	3509015548.2480	3509012096.4902	-0.7929	2.8201	1.4679	0.1675	9.6041	1.9620	-0.4673	-0.6915	-0.4884	3451962.8906	-0.2354	-0.1235	-0.1269	0.3261	7.0347	-7.1684	-0.3920	0.6765	0.0563	3449150.3906	-12.9120	-3.6779	-5.8330	0.9904	9.5602	-1.3313	-0.3117	-0.5881	0.4770	0.0000	0.0000
3450595.7031	2.2409	-1.4185	-1.2302	-1.3850	9.0322	3.7214	0.2781	-0.7922	-0.1280	3452187.5000	1.2702	-1.3793	-0.3086	0.0274	9.7148	-0.2262	0.2923	-0.8066	0.2151	3451708.9844	0.1374	0.8314	-0.9966	0.2895	6.3076	-7.3505	0.3461	-0.6208	0.4295	3451669.9219	-2.3726	2.1260	-1.5913	1.5057	9.4499	2.6902	-0.7275	-0.5370	-0.3021	3451767.5781	3509015548.2578	3509012096.4902	-0.7929	2.8201	1.4679	0.1675	9.6049	2.0410	-0.4857	-0.6617	-0.5053	3451972.6562	-0.2354	-0.1235	-0.1269	0.4049	7.0347	-7.1699	-0.3920	0.6765	0.0563	3449160.1562	-12.9120	-3.6779	-5.8330	0.9896	9.5594	-1.4091	-0.3043	-0.5996	0.5046	0.0000	0.0000
3450605.4687	2.2409	-1.4185	-1.2302	-1.4654	9.1850	3.6455	0.2457	-0.8078	-0.1302	3452197.2656	0.8512	-1.6266	-0.4797	0.0274	9.8685	-0.4652	0.2827	-0.8516	0.1892	3451718.7500	0.1374	0.8314	-0.9966	0.2895	6.3076	-7.3505	0.3179	-0.6062	0.4824	3451679.6875	-2.3726	2.1260	-1.5913	1.3510	9.3735	2.6925	-0.7451	-0.5658	-0.3255	3451777.3437	3509015548.2675	3509012096.4902	-1.4052	3.1930	1.1807	0.0110	9.6834	2.1192	-0.4857	-0.6617	-0.5053	3451982.4219	0.0451	0.5046	-0.1717	0.3269	7.0363	-7.0888	-0.3880	0.6239	-0.0188	3449169.9219	-12.9120	-3.6779	-5.8330	0.9904	9.4073	-1.3298	-0.3191	-0.6264	0.4770	0.0000	0.0000
3450615.2344	2.3315	2.7536	-1.1002	-1.5451	9.0322	3.6478	0.2724	-0.7942	-0.1215	3452207.0312	0.8512	-1.6266	-0.4797	0.0274	9.7928	-0.2278	0.3212	-0.8262	0.1914	3451728.5156	0.1374	0.8314	-0.9966	0.2117	6.2300	-7.2721	0.3179	-0.6062	0.4824	3451689.4531	-1.4695	3.2148	-2.1229	1.4276	9.3735	2.6145	-0.7098	-0.5905	-0.3419	3451787.1094	3509015548.2773	3509012096.4902	-1.4052	3.1930	1.1807	0.0892	9.6056	2.1200	-0.4408	-0.6660	-0.5368	3451992.1875	0.0451	0.5046	-0.1717	0.2497	7.0395	-6.9281	-0.3280	0.6849	0.0141	3449179.6875	-7.3172	-6.4780	-6.1325	0.9912	9.3316	-1.2513	-0.3043	-0.5824	0.5000	0.0000	0.0000
