Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
454111.3281	-0.5381	-2.0505	1.8445	-2.2570	8.4976	4.1867	0.3943	-0.7068	-0.2191	454111.3281	3.7233	-6.6219	-1.2652	0.5050	9.6321	-0.6963	0.2981	-0.8828	0.2237	454111.3281	0.0234	-0.3395	-0.6726	-0.5669	4.4117	-8.7059	0.5030	-0.5708	0.6388	453935.5469	0.1837	-0.2412	0.0934	-0.6725	9.8317	1.5501	-0.5373	-0.6420	-0.3302	454111.3281	3509012550.7210	3509012096.6097	-1.6842	-2.0006	-0.8165	0.8716	9.6534	-0.8830	-0.6776	-0.5830	0.0400	454111.3281	-0.3721	0.0377	0.2512	0.0835	6.0983	-7.7816	-0.8420	0.5819	0.2347	454111.3281	1.8355	-3.6022	-0.5129	-0.1062	9.8839	0.4540	-0.0724	-0.6858	0.4378	0.0000	0.0000
454121.0937	-0.5381	-2.0505	1.8445	-2.4149	8.5740	4.3379	0.4267	-0.6816	-0.2191	454121.0937	2.7874	-9.8230	-1.6467	0.2662	9.7873	-0.7781	0.3269	-0.8867	0.2022	454121.0937	0.0234	-0.3395	-0.6726	-0.6448	4.4125	-8.6283	0.5030	-0.5708	0.6388	453945.3125	0.1837	-0.2412	0.0934	-0.7507	9.6026	1.4760	-0.5608	-0.6584	-0.3302	454121.0937	3509012550.7308	3509012096.6097	-2.3465	-2.2079	-1.5231	0.9499	9.7303	-0.9627	-0.6776	-0.5830	0.0400	454121.0937	-0.3721	0.0377	0.2512	0.0039	6.0967	-7.8596	-0.8420	0.5357	0.1784	454121.0937	1.8355	-3.6022	-0.5129	-0.1873	9.8059	0.2993	-0.0649	-0.6648	0.4470	0.0000	0.0000
454130.8594	1.6560	-8.5314	3.1168	-2.5743	8.5740	4.3395	0.3962	-0.6874	-0.2082	454130.8594	2.7874	-9.8230	-1.6467	0.1070	9.7101	-0.6979	0.3000	-0.8828	0.2495	454130.8594	-0.2331	-0.3320	-0.1530	-0.6448	4.4917	-8.5523	0.4789	-0.5292	0.6784	453955.0781	-1.1633	-0.4148	0.9660	-0.7507	9.6026	1.4760	-0.5176	-0.6379	-0.3396	454130.8594	3509012550.7406	3509012096.6097	-2.3465	-2.2079	-1.5231	0.8716	9.6518	-1.0410	-0.6510	-0.6213	0.0126	454130.8594	-0.3721	0.0377	0.2512	-0.0741	6.0983	-7.7784	-0.8420	0.5357	0.1784	454130.8594	-0.1902	-2.5428	-0.7652	-0.2661	9.8831	0.3763	-0.0742	-0.6839	0.4263	0.0000	0.0000
454140.6250	1.6560	-8.5314	3.1168	-2.5728	8.7267	4.4884	0.4286	-0.6447	-0.2191	454140.6250	2.7874	-9.8230	-1.6467	0.4254	9.7873	-0.7781	0.2981	-0.8594	0.2172	454140.6250	-0.2331	-0.3320	-0.1530	-0.6448	4.4133	-8.5515	0.4507	-0.5875	0.6564	453964.8437	-1.1633	-0.4148	0.9660	-0.6733	9.7554	1.4737	-0.5373	-0.6420	-0.3302	454140.6250	3509012550.7503	3509012096.6097	-2.3465	-2.2079	-1.5231	0.8716	9.6518	-1.0410	-0.6571	-0.5489	0.0695	454140.6250	-0.5340	0.5174	-0.3348	0.0047	6.1753	-7.7816	-0.6620	0.5063	0.2488	454140.6250	-0.1902	-2.5428	-0.7652	-0.1858	9.8074	0.4548	-0.0594	-0.7031	0.4447	0.0000	0.0000
454150.3906	1.6560	-8.5314	3.1168	-2.4157	8.5740	4.2627	0.3943	-0.6738	-0.2061	454150.3906	2.7874	-9.8230	-1.6467	0.4254	9.7873	-0.7781	0.2981	-0.8594	0.2172	454150.3906	-0.2331	-0.3320	-0.1530	-0.5669	4.4148	-8.3986	0.4990	-0.5437	0.6278	453974.6094	-1.1633	-0.4148	0.9660	-0.3653	9.8317	1.3155	-0.5373	-0.6420	-0.3302	454150.3906	3509012550.7601	3509012096.6097	-2.7647	-3.4876	-2.2098	1.0281	9.7311	-0.8837	-0.6571	-0.5489	0.0695	454150.3906	-0.5340	0.5174	-0.3348	0.0055	5.9459	-7.6974	-0.8640	0.5840	0.2230	454150.3906	-0.1902	-2.5428	-0.7652	-0.2654	9.8074	0.4548	-0.0798	-0.7011	0.4194	0.0000	0.0000
454160.1562	-0.4644	-9.6149	4.6920	-2.4954	8.7267	4.2620	0.4171	-0.6602	-0.2082	454160.1562	-0.0712	2.2063	-0.2476	0.5050	9.7093	-0.7765	0.3346	-0.8496	0.2065	454160.1562	-0.2331	-0.3320	-0.1530	-0.5669	4.3341	-8.6283	0.4990	-0.5437	0.6278	453984.3750	0.3674	-5.8930	2.4980	-0.5974	9.5263	1.3208	-0.5549	-0.6337	-0.3232	454160.1562	3509012550.7699	3509012096.6097	-2.7647	-3.4876	-2.2098	1.1064	9.8089	-0.8845	-0.6796	-0.5532	0.0568	454160.1562	-0.5340	0.5174	-0.3348	-0.1521	6.0230	-7.6958	-0.8080	0.5693	0.1784	454160.1562	-2.8536	0.5903	-0.9012	-0.1865	9.8066	0.3770	-0.0557	-0.6648	0.4447	0.0000	0.0000
454169.9219	-0.4644	-9.6149	4.6920	-2.4961	8.6504	4.1876	0.4095	-0.6699	-0.2148	454169.9219	-0.0712	2.2063	-0.2476	0.9826	9.5540	-0.6948	0.3058	-0.8906	0.2495	454169.9219	0.0468	0.0741	0.1067	-0.5669	4.3341	-8.6283	0.4748	-0.5354	0.6564	453994.1406	0.3674	-5.8930	2.4980	-0.6748	9.6790	1.3201	-0.5412	-0.6605	-0.3466	454169.9219	3509012550.7796	3509012096.6097	-2.7647	-3.4876	-2.2098	1.0281	9.5733	-1.1192	-0.6673	-0.6447	0.0084	454169.9219	0.5345	0.2721	-1.1758	0.0031	6.1721	-7.9407	-0.8080	0.5693	0.1784	454169.9219	-2.8536	0.5903	-0.9012	-0.2669	9.8059	0.2993	-0.0724	-0.7050	0.4240	0.0000	0.0000
