Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Thigh_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Shank_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Foot_R	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Thigh_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Shank_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Foot_L	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Pelvis	Annotation	Annotation
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Sync Timestamp	Offset Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Wide Range Accelerometer X	Wide Range Accelerometer Y	Wide Range Accelerometer Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Pulse	Level
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	Pulse	Level
mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	secs	secs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	mSecs	deg/sec	deg/sec	deg/sec	m/(sec^2)	m/(sec^2)	m/(sec^2)	local	local	local	Boolean	Boolean
1756708.9844	1.0815	-6.9761	2.1117	-0.0453	9.5668	2.1986	0.3333	-0.7631	-0.1085	1758125.0000	-0.1143	-0.4719	-1.0131	-1.3259	9.2222	-2.6537	0.4423	-0.6816	0.3699	1758125.0000	-0.0292	0.0493	-0.1513	-0.2555	4.5708	-8.4801	0.3581	-0.5042	0.6278	1757607.4219	9.2148	-0.7698	2.9645	0.7953	10.2136	1.3000	-0.4196	-0.5988	-0.5410	1758125.0000	3509013854.6835	3509012096.5585	0.6608	-2.7118	2.0865	-0.3020	9.6542	-0.8039	-0.5490	-0.7298	0.0863	1758125.0000	0.4235	-1.1320	0.2090	-0.1621	4.3856	-8.6977	-0.2440	0.9118	0.4085	1755673.8281	-10.2827	31.5272	6.1091	-1.6130	8.7425	1.0098	-0.2152	-0.7356	0.3825	0.0000	0.0000
1756718.7500	1.0815	-6.9761	2.1117	-0.3648	9.4905	2.1273	0.2971	-0.7864	-0.0954	1758134.7656	-0.3303	-1.3039	-1.6794	-1.3259	9.2222	-2.6537	0.4423	-0.6816	0.3699	1758134.7656	-0.0292	0.0493	-0.1513	-0.1776	4.4924	-8.4801	0.3984	-0.4833	0.5881	1757617.1875	9.2148	-0.7698	2.9645	0.8689	9.9081	0.9164	-0.4157	-0.5885	-0.5621	1758134.7656	3509013854.6932	3509012096.5585	0.6608	-2.7118	2.0865	-0.1455	9.7335	-0.6467	-0.5306	-0.7149	0.0611	1758134.7656	0.4235	-1.1320	0.2090	-0.2441	4.3023	-9.0128	-0.2440	0.9118	0.4085	1755683.5937	0.7602	51.0368	1.4850	-1.6099	8.7456	1.3208	-0.2375	-0.7011	0.3963	0.0000	0.0000
1756728.5156	3.4834	-10.5135	2.2842	-0.2873	9.4905	1.9009	0.3257	-0.7748	-0.1128	1758144.5312	-0.3303	-1.3039	-1.6794	-1.5647	9.2995	-2.7339	0.4346	-0.6953	0.3634	1758144.5312	0.0762	0.0339	-0.1981	-0.1776	4.4909	-8.6338	0.3742	-0.4792	0.5991	1757626.9531	9.2148	-0.7698	2.9645	0.4828	9.6790	0.9997	-0.4078	-0.6070	-0.5457	1758144.5312	3509013854.7030	3509012096.5585	0.6608	-2.7118	2.0865	-0.2237	9.7343	-0.5677	-0.5306	-0.7149	0.0611	1758144.5312	0.4235	-1.1320	0.2090	-0.1653	4.3792	-9.0159	-0.2340	0.8508	0.3568	1755693.3594	0.7602	51.0368	1.4850	-1.2939	9.0491	1.0845	-0.2449	-0.7011	0.3940	0.0000	0.0000
1756738.2812	3.4834	-10.5135	2.2842	-0.5257	9.4905	1.9785	0.2971	-0.7845	-0.1085	1758154.2969	-0.3303	-1.3039	-1.6794	-1.4055	9.2246	-2.4179	0.4750	-0.7090	0.3570	1758154.2969	0.0762	0.0339	-0.1981	-0.1776	4.4932	-8.4033	0.3742	-0.4792	0.5991	1757636.7187	9.2148	-0.7698	2.9645	0.1748	9.4499	1.1595	-0.4078	-0.6070	-0.5457	1758154.2969	3509013854.7128	3509012096.5585	0.0833	-6.2059	2.2354	-0.2237	9.7319	-0.8047	-0.5143	-0.7489	0.0989	1758154.2969	0.2171	-0.3691	-0.1381	-0.1653	4.2253	-9.0128	-0.1980	0.9181	0.3732	1755703.1250	0.7602	51.0368	1.4850	-1.0574	9.1997	0.8497	-0.2449	-0.7165	0.4055	0.0000	0.0000
1756748.0469	3.4834	-10.5135	2.2842	-0.6046	9.6432	2.0530	0.3105	-0.7786	-0.1106	1758164.0625	-0.1841	-0.0448	-1.3540	-1.3259	9.3011	-2.5767	0.4577	-0.6680	0.3742	1758164.0625	0.0762	0.0339	-0.1981	-0.1776	4.4140	-8.4793	0.3742	-0.4333	0.6366	1757646.4844	-11.7863	-24.5786	2.0637	0.1005	9.5263	1.4683	-0.4314	-0.6235	-0.5316	1758164.0625	3509013854.7225	3509012096.5585	0.0833	-6.2059	2.2354	-0.2237	9.6526	-0.9620	-0.5429	-0.7043	0.1032	1758164.0625	0.2171	-0.3691	-0.1381	-0.1653	4.3792	-9.0159	-0.2620	0.8697	0.4085	1755712.8906	0.7602	51.0368	1.4850	-0.9005	9.1209	0.6172	-0.2505	-0.7452	0.3848	0.0000	0.0000
1756757.8125	3.4834	-10.5135	2.2842	-0.9257	9.6432	1.8306	0.3143	-0.7650	-0.0976	1758173.8281	-0.1841	-0.0448	-1.3540	-1.2463	9.3799	-2.4996	0.4577	-0.6680	0.3742	1758173.8281	0.0762	0.0339	-0.1981	-0.2555	4.4901	-8.7098	0.3883	-0.4958	0.5903	1757656.2500	-11.7863	-24.5786	2.0637	0.2592	9.5263	1.8527	-0.4196	-0.5885	-0.5597	1758173.8281	3509013854.7323	3509012096.5585	0.0833	-6.2059	2.2354	-0.3802	9.7303	-0.9627	-0.5469	-0.7277	0.0505	1758173.8281	0.2171	-0.3691	-0.1381	-0.3221	4.3039	-8.9316	-0.2620	0.8697	0.4085	1755722.6562	10.4880	62.8122	-2.3137	-0.5026	9.3502	0.6149	-0.2523	-0.7146	0.3917	0.0000	0.0000
1756767.5781	4.0406	-13.3881	3.8563	-1.0866	9.7196	1.6810	0.3429	-0.7553	-0.1041	1758183.5937	-0.1841	-0.0448	-1.3540	-1.3259	9.3783	-2.6569	0.4365	-0.6895	0.3613	1758183.5937	-0.0298	0.0181	-0.1212	-0.2555	4.4916	-8.5562	0.3883	-0.4958	0.5903	1757666.0156	-11.7863	-24.5786	2.0637	0.4944	9.6026	2.1584	-0.4196	-0.5885	-0.5597	1758183.5937	3509013854.7421	3509012096.5585	0.1629	-2.3247	2.5805	-0.5367	9.6510	-1.1200	-0.5469	-0.7277	0.0505	1758183.5937	0.5613	-1.3875	-0.0631	-0.0841	4.3840	-8.7788	-0.2260	0.8403	0.3474	1755732.4219	10.4880	62.8122	-2.3137	-0.1077	9.7294	0.3000	-0.2449	-0.7203	0.3710	0.0000	0.0000
